mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_3nq9_bo_s20260804002_s001,3nq9,2.5,9.0,1000,1000,217,1.0,0.217,0.217,203788.4,169200.0,67.864,1.0056767943498435,2.7439548,2206.0,25.0,3nq9_Kdist2.500_Kmono9.000,1,114,quality_3nq9,0.217,0.217
qpu,prereg_3nq9_bo_s20260804002_s001,4jsz,2.5,9.0,1000,1000,0,1.0,0.0,0.0,212404.8,177800.0,47.387,2.9780214687219613,4.3300266,3008.0,33.0,4jsz_Kdist2.500_Kmono9.000,1,114,quality_3nq9,0.217,0.217
qpu,prereg_3nq9_bo_s20260804002_s002,3nq9,2.5,13.0,1000,803,32,0.803,0.039850560398505604,0.032,209970.8,175380.0,58.785,0.923988095161404,4.940374346201744,2278.0,27.0,3nq9_Kdist2.500_Kmono13.000,2,118,quality_3nq9,0.032,0.217
qpu,prereg_3nq9_bo_s20260804002_s002,4jsz,2.5,13.0,1000,684,10,0.684,0.014619883040935672,0.01,216434.4,181840.0,57.706,1.5026925833316693,3.453237719298245,2756.0,30.0,4jsz_Kdist2.500_Kmono13.000,2,118,quality_3nq9,0.032,0.217
qpu,prereg_3nq9_bo_s20260804002_s003,3nq9,1.5,6.0,1000,1000,1,1.0,0.001,0.001,210571.2,175980.0,76.825,1.7511130116391227,4.343466,2158.0,27.0,3nq9_Kdist1.500_Kmono6.000,3,69,quality_3nq9,0.001,0.217
qpu,prereg_3nq9_bo_s20260804002_s003,4jsz,1.5,6.0,1000,1000,0,1.0,0.0,0.0,213396.0,178800.0,88.812,2.9652656458194944,4.5084857000000005,2665.0,28.0,4jsz_Kdist1.500_Kmono6.000,3,69,quality_3nq9,0.001,0.217
qpu,prereg_3nq9_bo_s20260804002_s004,3nq9,1.0,7.0,1000,995,0,0.995,0.0,0.0,211200.0,176600.0,73.949,4.596490844760192,6.041288844221104,2084.0,23.0,3nq9_Kdist1.000_Kmono7.000,4,49,quality_3nq9,0.0,0.217
qpu,prereg_3nq9_bo_s20260804002_s004,4jsz,1.0,7.0,1000,963,5,0.963,0.005192107995846314,0.005,213697.2,179100.0,130.602,1.5026925833316693,3.6210114226375905,2602.0,29.0,4jsz_Kdist1.000_Kmono7.000,4,49,quality_3nq9,0.0,0.217
qpu,prereg_3nq9_bo_s20260804002_s005,3nq9,2.0,4.0,1000,1000,2,1.0,0.002,0.002,209931.6,175340.0,57.686,1.5694964771834954,5.609697900000001,2231.0,26.0,3nq9_Kdist2.000_Kmono4.000,5,88,quality_3nq9,0.002,0.217
qpu,prereg_3nq9_bo_s20260804002_s005,4jsz,2.0,4.0,1000,1000,0,1.0,0.0,0.0,215036.0,180440.0,111.425,3.8057992257088675,4.2940247,2467.0,27.0,4jsz_Kdist2.000_Kmono4.000,5,88,quality_3nq9,0.002,0.217
