step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,181,4.0,13.0,0.0,0.0,0.0,0.007,1.0,0.999,0.0,0.007007007007007007,1000,999,0,7,211395.6,211898.0,176800.0,177300.0,130.78,110.468
2,348,8.0,12.0,0.0,0.0,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,208335.6,216621.6,173740.0,182020.0,82.567,89.73
3,235,5.5,4.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207660.4,214194.4,173060.0,179600.0,120.837,68.422
4,202,4.5,13.0,0.0,0.0,0.0,0.0,1.0,0.999,0.0,0.0,1000,999,0,0,204656.8,216074.8,170060.0,181480.0,80.119,66.068
5,355,8.0,19.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210748.4,218475.2,176160.0,183880.0,60.583,84.463
6,154,3.5,7.0,0.012,0.012,0.012,0.0,0.927,1.0,0.012944983818770227,0.0,927,1000,12,0,204304.0,215335.2,169700.0,180740.0,63.492,68.22
7,179,4.0,11.0,0.012,0.012,0.012,0.0,1.0,1.0,0.012,0.0,1000,1000,12,0,215295.6,211196.4,180700.0,176600.0,109.871,80.889
8,381,9.0,3.0,0.0,0.012,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211974.8,218257.2,177380.0,183660.0,110.738,74.69
9,371,8.5,14.0,0.0,0.012,0.0,0.011,1.0,1.0,0.0,0.011,1000,1000,0,11,203753.6,212112.8,169160.0,177520.0,107.046,59.327
10,150,3.5,3.0,0.001,0.012,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,202795.6,210482.4,168200.0,175880.0,60.657,191.691
11,188,4.0,20.0,0.058,0.058,0.058,0.004,0.453,1.0,0.1280353200883002,0.004,453,1000,58,4,210877.6,217830.4,176280.0,183240.0,2.588,110.272
12,207,4.5,18.0,0.0,0.058,0.0,0.365,1.0,0.982,0.0,0.37169042769857435,1000,982,0,365,204941.6,211398.8,170340.0,176800.0,95.564,150.744
13,232,5.5,1.0,0.003,0.058,0.003,0.0,1.0,1.0,0.003,0.0,1000,1000,3,0,204935.2,219757.6,170340.0,185160.0,59.615,104.889
14,372,8.5,15.0,0.0,0.058,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204039.2,211974.8,169440.0,177380.0,151.578,78.979
15,422,10.0,2.0,0.0,0.058,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212372.4,212804.4,177780.0,178200.0,72.995,109.463
16,53,1.0,11.0,0.17,0.17,0.17,0.0,0.654,0.993,0.2599388379204893,0.0,654,993,170,0,214576.0,216942.8,179980.0,182340.0,77.56,88.182
17,309,7.0,15.0,0.005,0.17,0.005,0.0,0.989,1.0,0.005055611729019211,0.0,989,1000,5,0,207978.4,210019.2,173380.0,175420.0,86.964,102.799
18,113,2.5,8.0,0.0,0.17,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212754.4,215303.2,178160.0,180700.0,51.773,130.396
19,124,2.5,19.0,0.0,0.17,0.0,0.023,0.998,0.156,0.0,0.14743589743589744,998,156,0,23,205939.6,213160.4,171340.0,178560.0,84.899,48.604
20,105,2.5,0.1,0.378,0.378,0.378,0.0,1.0,1.0,0.378,0.0,1000,1000,378,0,206515.2,216197.2,171920.0,181600.0,122.437,28.496
21,63,1.5,0.1,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,217473.6,214944.8,182880.0,180340.0,55.203,43.095
22,106,2.5,1.0,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215574.8,213510.0,180980.0,178920.0,85.923,75.567
23,126,3.0,0.1,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206832.8,211158.0,172240.0,176560.0,241.019,103.159
24,84,2.0,0.1,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201393.6,216932.0,166800.0,182340.0,126.601,170.314
25,33,0.5,12.0,0.017,0.378,0.017,0.0,0.975,0.019,0.017435897435897435,0.0,975,19,17,0,211654.8,211211.2,177060.0,176620.0,118.096,84.469
26,73,1.5,10.0,0.005,0.378,0.005,0.043,0.97,0.976,0.005154639175257732,0.04405737704918033,970,976,5,43,212752.8,206508.0,178160.0,171920.0,145.021,105.965
27,31,0.5,10.0,0.002,0.378,0.002,0.001,0.189,0.96,0.010582010582010581,0.0010416666666666667,189,960,2,1,203332.8,207511.2,168740.0,172920.0,75.142,109.49
28,75,1.5,12.0,0.001,0.378,0.001,0.012,0.859,0.262,0.0011641443538998836,0.04580152671755725,859,262,1,12,218372.4,212040.8,183780.0,177440.0,58.176,74.339
29,0,0.1,0.1,0.018,0.378,0.018,0.045,1.0,1.0,0.018,0.045,1000,1000,18,45,214527.2,216123.6,179920.0,181520.0,64.285,70.28
30,407,9.5,8.0,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215432.0,214393.2,180840.0,179800.0,113.459,146.775
31,20,0.1,20.0,0.001,0.378,0.001,0.0,0.997,0.99,0.0010030090270812437,0.0,997,990,1,0,212511.2,215070.8,177920.0,180480.0,122.825,85.273
32,4,0.1,4.0,0.007,0.378,0.007,0.126,1.0,1.0,0.007,0.126,1000,1000,7,126,203894.4,211298.4,169300.0,176700.0,118.696,106.908
33,321,7.5,6.0,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209390.4,216221.6,174800.0,181620.0,49.111,44.029
34,240,5.5,9.0,0.0,0.378,0.0,0.017,1.0,1.0,0.0,0.017,1000,1000,0,17,214393.2,214295.2,179800.0,179700.0,65.733,57.02
35,37,0.5,16.0,0.0,0.378,0.0,0.001,0.999,0.921,0.0,0.0010857763300760044,999,921,0,1,208250.4,215076.8,173660.0,180480.0,61.906,79.959
36,434,10.0,14.0,0.004,0.378,0.004,0.0,0.979,1.0,0.0040858018386108275,0.0,979,1000,4,0,217750.8,215791.2,183160.0,181200.0,58.132,111.579
37,293,6.5,20.0,0.001,0.378,0.001,0.101,1.0,0.719,0.001,0.1404728789986092,1000,719,1,101,218872.0,213299.6,184280.0,178700.0,37.931,141.503
38,89,2.0,5.0,0.001,0.378,0.001,0.008,1.0,1.0,0.001,0.008,1000,1000,1,8,207716.4,217474.0,173120.0,182880.0,50.02,65.64
39,395,9.0,17.0,0.0,0.378,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,210210.8,211512.8,175620.0,176920.0,92.54,76.433
40,284,6.5,11.0,0.0,0.378,0.0,0.052,1.0,0.993,0.0,0.05236656596173213,1000,993,0,52,206833.6,217373.2,172240.0,182780.0,58.266,87.751
41,303,7.0,9.0,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,217613.2,218608.8,183020.0,184020.0,128.617,77.679
42,243,5.5,12.0,0.0,0.378,0.0,0.022,1.0,1.0,0.0,0.022,1000,1000,0,22,211750.8,216434.8,177160.0,181840.0,88.728,73.961
43,238,5.5,7.0,0.0,0.378,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206695.2,217979.2,172100.0,183380.0,140.235,111.445
44,398,9.0,20.0,0.001,0.378,0.001,0.0,0.904,1.0,0.0011061946902654867,0.0,904,1000,1,0,214252.8,210874.0,179660.0,176280.0,86.202,117.044
45,396,9.0,18.0,0.0,0.378,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,206073.6,213794.4,171480.0,179200.0,34.959,147.189
46,98,2.0,14.0,0.212,0.378,0.212,0.293,0.989,0.897,0.21435793731041455,0.326644370122631,989,897,212,293,201469.6,217616.0,166880.0,183020.0,2.385,72.971
47,120,2.5,15.0,0.0,0.378,0.0,0.0,0.927,1.0,0.0,0.0,927,1000,0,0,214398.4,215290.8,179800.0,180700.0,47.924,139.784
48,77,1.5,14.0,0.438,0.438,0.438,0.0,0.859,0.964,0.509895227008149,0.0,859,964,438,0,212219.2,215936.0,177620.0,181340.0,116.889,70.753
49,78,1.5,15.0,0.0,0.438,0.0,0.144,0.994,0.591,0.0,0.2436548223350254,994,591,0,144,200194.4,211872.0,165600.0,177280.0,53.155,49.693
50,56,1.0,14.0,0.001,0.438,0.001,0.062,0.915,0.317,0.001092896174863388,0.19558359621451105,915,317,1,62,205975.6,218373.6,171380.0,183780.0,64.235,45.041
51,76,1.5,13.0,0.004,0.438,0.004,0.0,0.599,1.0,0.00667779632721202,0.0,599,1000,4,0,210107.2,213609.6,175520.0,179020.0,136.603,136.949
52,315,7.5,0.1,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207428.4,211514.4,172840.0,176920.0,66.377,156.754
53,431,10.0,11.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205291.2,214302.4,170700.0,179700.0,145.354,81.8
54,247,5.5,16.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206074.8,215693.6,171480.0,181100.0,78.749,70.341
55,297,7.0,3.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,202072.8,211254.8,167480.0,176660.0,79.625,94.493
56,7,0.1,7.0,0.0,0.438,0.0,0.02,1.0,0.999,0.0,0.02002002002002002,1000,999,0,20,202113.6,211751.6,167520.0,177160.0,77.667,91.45
57,425,10.0,5.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211615.2,211793.2,177020.0,177200.0,43.449,84.265
58,378,9.0,0.1,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211569.6,215299.2,176980.0,180700.0,73.378,113.829
59,230,5.0,20.0,0.009,0.438,0.009,0.288,0.568,0.834,0.01584507042253521,0.34532374100719426,568,834,9,288,208694.0,215296.0,174100.0,180700.0,99.604,93.049
60,83,1.5,20.0,0.016,0.438,0.016,0.0,0.594,0.062,0.026936026936026935,0.0,594,62,16,0,202612.0,215536.4,168020.0,180940.0,144.206,100.185
61,366,8.5,9.0,0.006,0.438,0.006,0.0,1.0,1.0,0.006,0.0,1000,1000,6,0,207430.4,211250.4,172840.0,176660.0,110.04,84.913
62,184,4.0,16.0,0.052,0.438,0.052,0.0,0.977,1.0,0.05322415557830092,0.0,977,1000,52,0,206713.2,212017.2,172120.0,177420.0,2.389,72.038
63,194,4.5,5.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,202519.6,216969.6,167920.0,182380.0,45.751,65.527
64,439,10.0,19.0,0.0,0.438,0.0,0.001,1.0,0.83,0.0,0.0012048192771084338,1000,830,0,1,202573.2,211756.0,167980.0,177160.0,88.115,61.927
65,290,6.5,17.0,0.0,0.438,0.0,0.001,1.0,0.995,0.0,0.0010050251256281408,1000,995,0,1,199614.0,214340.0,165020.0,179740.0,101.478,71.735
66,44,1.0,2.0,0.0,0.438,0.0,0.014,1.0,1.0,0.0,0.014,1000,1000,0,14,206653.2,213655.2,172060.0,179060.0,131.563,81.735
67,362,8.5,5.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216077.6,208894.0,181480.0,174300.0,141.96,103.447
68,177,4.0,9.0,0.001,0.438,0.001,0.0,0.972,1.0,0.00102880658436214,0.0,972,1000,1,0,201698.8,206661.6,167100.0,172060.0,128.97,89.528
69,420,10.0,0.1,0.0,0.438,0.0,0.318,1.0,1.0,0.0,0.318,1000,1000,0,318,216838.8,214761.6,182240.0,180160.0,45.724,70.297
70,436,10.0,16.0,0.0,0.438,0.0,0.005,1.0,0.998,0.0,0.00501002004008016,1000,998,0,5,213692.0,214938.4,179100.0,180340.0,71.875,86.742
71,82,1.5,19.0,0.0,0.438,0.0,0.063,0.016,0.855,0.0,0.07368421052631578,16,855,0,63,207691.2,215620.4,173100.0,181020.0,100.516,158.092
72,258,6.0,6.0,0.002,0.438,0.002,0.113,1.0,1.0,0.002,0.113,1000,1000,2,113,214071.2,208153.6,179480.0,173560.0,90.537,85.051
73,283,6.5,10.0,0.001,0.438,0.001,0.001,0.995,1.0,0.0010050251256281408,0.001,995,1000,1,1,205070.8,208756.0,170480.0,174160.0,104.864,103.418
74,183,4.0,15.0,0.0,0.438,0.0,0.0,0.655,1.0,0.0,0.0,655,1000,0,0,207159.2,202521.2,172560.0,167920.0,48.83,164.203
75,368,8.5,11.0,0.0,0.438,0.0,0.028,1.0,1.0,0.0,0.028,1000,1000,0,28,209481.2,208150.0,174880.0,173560.0,66.321,162.454
76,310,7.0,16.0,0.015,0.438,0.015,0.001,0.929,0.995,0.016146393972012917,0.0010050251256281408,929,995,15,1,199880.8,215078.0,165280.0,180480.0,82.895,65.737
77,135,3.0,9.0,0.0,0.438,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,215535.6,215333.2,180940.0,180740.0,163.837,57.823
78,225,5.0,15.0,0.0,0.438,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,206334.8,215160.4,171740.0,180560.0,80.969,84.223
79,326,7.5,11.0,0.0,0.438,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206194.8,211292.4,171600.0,176700.0,71.465,115.409
