step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,397,9.0,19.0,0.0,0.0,0.0,0.001,0.988,1.0,0.0,0.001,988,1000,0,1,209150.8,212380.8,174560.0,177780.0,57.928,135.09
2,316,7.5,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,200931.2,218256.0,166340.0,183660.0,93.045,60.592
3,200,4.5,11.0,0.256,0.256,0.256,0.018,1.0,1.0,0.256,0.018,1000,1000,256,18,211396.4,211260.8,176800.0,176660.0,56.768,67.976
4,104,2.0,20.0,0.0,0.256,0.0,0.0,0.535,0.148,0.0,0.0,535,148,0,0,205015.2,211793.2,170420.0,177200.0,78.225,68.81
5,253,6.0,1.0,0.0,0.256,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205574.8,215578.0,170980.0,180980.0,64.294,50.339
6,6,0.1,6.0,0.0,0.256,0.0,0.373,1.0,1.0,0.0,0.373,1000,1000,0,373,205694.4,212296.0,171100.0,177700.0,85.384,68.275
7,438,10.0,18.0,0.0,0.256,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,215034.8,217082.4,180440.0,182480.0,108.36,73.293
8,336,8.0,0.1,0.0,0.256,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211532.8,213573.6,176940.0,178980.0,102.345,88.191
9,296,7.0,2.0,0.0,0.256,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206699.2,214892.0,172100.0,180300.0,109.591,82.453
10,331,7.5,16.0,0.003,0.256,0.003,0.0,0.997,1.0,0.003009027081243731,0.0,997,1000,3,0,215658.0,218115.6,181060.0,183520.0,106.833,163.34
11,392,9.0,14.0,0.037,0.256,0.037,0.0,1.0,1.0,0.037,0.0,1000,1000,37,0,208435.6,212295.6,173840.0,177700.0,37.77,96.08
12,142,3.0,16.0,0.0,0.256,0.0,0.012,0.982,0.983,0.0,0.012207527975584944,982,983,0,12,212797.2,211711.6,178200.0,177120.0,90.314,86.067
13,391,9.0,13.0,0.382,0.382,0.382,0.014,1.0,0.943,0.382,0.014846235418875928,1000,943,382,14,206973.2,210519.2,172380.0,175920.0,81.971,110.113
14,69,1.5,6.0,0.0,0.382,0.0,0.0,0.998,1.0,0.0,0.0,998,1000,0,0,216071.6,210979.6,181480.0,176380.0,37.297,100.054
15,373,8.5,16.0,0.001,0.382,0.001,0.0,0.991,0.635,0.0010090817356205853,0.0,991,635,1,0,216576.8,217079.2,181980.0,182480.0,119.955,91.946
16,302,7.0,8.0,0.0,0.382,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,217470.4,215535.2,182880.0,180940.0,94.913,86.768
17,419,9.5,20.0,0.06,0.382,0.06,0.003,1.0,0.89,0.06,0.0033707865168539327,1000,890,60,3,207068.8,220020.4,172480.0,185420.0,104.439,121.317
18,29,0.5,8.0,0.0,0.382,0.0,0.0,0.5,0.576,0.0,0.0,500,576,0,0,213018.8,212117.2,178420.0,177520.0,131.839,102.626
19,50,1.0,8.0,0.001,0.382,0.001,0.384,0.282,0.636,0.0035460992907801418,0.6037735849056604,282,636,1,384,206474.0,213113.2,171880.0,178520.0,36.683,69.013
20,220,5.0,10.0,0.002,0.382,0.002,0.0,1.0,1.0,0.002,0.0,1000,1000,2,0,209696.4,211475.2,175100.0,176880.0,59.203,144.566
21,28,0.5,7.0,0.0,0.382,0.0,0.0,0.999,1.0,0.0,0.0,999,1000,0,0,209975.6,211403.6,175380.0,176800.0,59.12,92.729
22,230,5.0,20.0,0.016,0.382,0.016,0.0,0.341,0.997,0.0469208211143695,0.0,341,997,16,0,205120.0,212378.0,170520.0,177780.0,72.268,91.941
23,371,8.5,14.0,0.0,0.382,0.0,0.0,1.0,0.994,0.0,0.0,1000,994,0,0,202516.4,216072.4,167920.0,181480.0,54.289,45.011
24,161,3.5,14.0,0.0,0.382,0.0,0.001,1.0,0.999,0.0,0.001001001001001001,1000,999,0,1,211977.2,208522.4,177380.0,173920.0,118.34,88.624
25,5,0.1,5.0,0.069,0.382,0.069,0.0,1.0,1.0,0.069,0.0,1000,1000,69,0,200431.6,215473.2,165840.0,180880.0,153.529,59.304
26,213,5.0,3.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206938.8,209692.8,172340.0,175100.0,122.113,116.869
27,150,3.5,3.0,0.0,0.382,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,208124.0,216570.8,173520.0,181980.0,63.116,89.37
28,295,7.0,1.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,214516.8,209797.6,179920.0,175200.0,100.137,93.23
29,270,6.0,18.0,0.0,0.382,0.0,0.0,1.0,0.997,0.0,0.0,1000,997,0,0,207296.0,216114.0,172700.0,181520.0,78.187,88.192
30,394,9.0,16.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218341.2,211513.6,183740.0,176920.0,108.988,71.046
31,314,7.0,20.0,0.001,0.382,0.001,0.127,0.799,0.526,0.0012515644555694619,0.2414448669201521,799,526,1,127,207257.6,209651.6,172660.0,175060.0,144.265,93.264
32,412,9.5,13.0,0.0,0.382,0.0,0.0,0.992,1.0,0.0,0.0,992,1000,0,0,209759.2,217218.8,175160.0,182620.0,48.184,88.224
33,355,8.0,19.0,0.007,0.382,0.007,0.003,1.0,0.889,0.007,0.003374578177727784,1000,889,7,3,203571.2,210932.8,168980.0,176340.0,100.554,125.618
34,189,4.5,0.1,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205875.6,216470.4,171280.0,181880.0,110.105,121.013
35,323,7.5,8.0,0.0,0.382,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,212373.6,216434.4,177780.0,181840.0,76.072,92.796
36,197,4.5,8.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201191.6,216071.6,166600.0,181480.0,69.842,54.832
37,127,3.0,1.0,0.0,0.382,0.0,0.011,1.0,1.0,0.0,0.011,1000,1000,0,11,203792.4,218252.0,169200.0,183660.0,54.28,90.434
38,89,2.0,5.0,0.213,0.382,0.213,0.0,1.0,1.0,0.213,0.0,1000,1000,213,0,207209.6,239999.6,172620.0,181340.0,122.154,110.574
39,343,8.0,7.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215431.6,217831.6,180840.0,183240.0,54.082,45.313
40,62,1.0,20.0,0.0,0.382,0.0,0.0,0.844,0.025,0.0,0.0,844,25,0,0,210751.2,211430.8,176160.0,176840.0,73.849,79.785
41,367,8.5,10.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206655.2,216694.8,172060.0,182100.0,82.486,104.984
42,348,8.0,12.0,0.0,0.382,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210076.0,214833.2,175480.0,180240.0,58.208,86.017
43,93,2.0,9.0,0.0,0.382,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,208974.8,209753.2,174380.0,175160.0,142.32,104.73
