mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_3nq9_random_s20260804102_s001,3nq9,3.0,4.0,1000,1000,0,1.0,0.0,0.0,213754.8,179160.0,69.833,3.0343221828695293,4.305283299999999,2323.0,28.0,3nq9_Kdist3.000_Kmono4.000,1,130,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s001,4jsz,3.0,4.0,1000,1000,0,1.0,0.0,0.0,210565.2,175980.0,97.044,2.4189708020415295,3.0198425,2422.0,25.0,4jsz_Kdist3.000_Kmono4.000,1,130,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s002,3nq9,5.5,17.0,1000,1000,0,1.0,0.0,0.0,211192.8,176600.0,68.339,2.7619334208670434,5.0295128,2156.0,24.0,3nq9_Kdist5.500_Kmono17.000,2,248,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s002,4jsz,5.5,17.0,1000,754,2,0.754,0.002652519893899204,0.002,211969.6,177380.0,95.328,1.8967706108014215,4.633391909814324,2540.0,27.0,4jsz_Kdist5.500_Kmono17.000,2,248,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s003,3nq9,0.5,8.0,1000,1000,0,1.0,0.0,0.0,213392.4,178800.0,102.89,3.698177954316852,5.9297815,2104.0,25.0,3nq9_Kdist0.500_Kmono8.000,3,29,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s003,4jsz,0.5,8.0,1000,1000,0,1.0,0.0,0.0,217471.2,182880.0,97.644,3.1184013591774846,5.0603210999999995,2505.0,26.0,4jsz_Kdist0.500_Kmono8.000,3,29,quality_3nq9,0.0,0.0
qpu,prereg_3nq9_random_s20260804102_s004,3nq9,2.5,13.0,1000,999,3,0.999,0.003003003003003003,0.003,203512.4,168920.0,120.699,0.9754117669013146,4.1406229229229226,2131.0,24.0,3nq9_Kdist2.500_Kmono13.000,4,118,quality_3nq9,0.003,0.003
qpu,prereg_3nq9_random_s20260804102_s004,4jsz,2.5,13.0,1000,343,36,0.343,0.10495626822157435,0.036,218215.2,183620.0,92.013,1.1749625525947618,3.6210670553935858,2557.0,28.0,4jsz_Kdist2.500_Kmono13.000,4,118,quality_3nq9,0.003,0.003
qpu,prereg_3nq9_random_s20260804102_s005,3nq9,8.0,0.1,1000,1000,0,1.0,0.0,0.0,204937.2,170340.0,110.959,5.383892661796898,6.117472800000002,2033.0,24.0,3nq9_Kdist8.000_Kmono0.100,5,336,quality_3nq9,0.0,0.003
qpu,prereg_3nq9_random_s20260804102_s005,4jsz,8.0,0.1,1000,1000,0,1.0,0.0,0.0,209652.8,175060.0,71.862,2.2227835424478,3.1983771,2727.0,29.0,4jsz_Kdist8.000_Kmono0.100,5,336,quality_3nq9,0.0,0.003
qpu,prereg_3nq9_random_s20260804102_s006,3nq9,7.5,16.0,1000,1000,0,1.0,0.0,0.0,208692.0,174100.0,100.417,4.398252578685251,5.749469700000001,2004.0,24.0,3nq9_Kdist7.500_Kmono16.000,6,331,quality_3nq9,0.0,0.003
qpu,prereg_3nq9_random_s20260804102_s006,4jsz,7.5,16.0,1000,1000,0,1.0,0.0,0.0,211515.2,176920.0,102.257,3.6804953871835533,4.082473200000001,2502.0,27.0,4jsz_Kdist7.500_Kmono16.000,6,331,quality_3nq9,0.0,0.003
qpu,prereg_3nq9_random_s20260804102_s007,3nq9,0.5,10.0,1000,299,233,0.299,0.7792642140468228,0.233,217829.2,183240.0,63.667,0.9471420168063499,2.4085090301003342,2245.0,26.0,3nq9_Kdist0.500_Kmono10.000,7,31,quality_3nq9,0.233,0.233
qpu,prereg_3nq9_random_s20260804102_s007,4jsz,0.5,10.0,1000,243,177,0.243,0.7283950617283951,0.177,211795.2,177200.0,60.47,1.116939120990933,2.4211115226337454,2551.0,28.0,4jsz_Kdist0.500_Kmono10.000,7,31,quality_3nq9,0.233,0.233
qpu,prereg_3nq9_random_s20260804102_s008,3nq9,1.5,0.1,1000,1000,0,1.0,0.0,0.0,215197.6,180600.0,74.206,5.952354810058105,6.346911,2177.0,26.0,3nq9_Kdist1.500_Kmono0.100,8,63,quality_3nq9,0.0,0.233
qpu,prereg_3nq9_random_s20260804102_s008,4jsz,1.5,0.1,1000,1000,6,1.0,0.006,0.006,211272.8,176660.0,107.872,1.6305627337147905,2.5855132,2546.0,26.0,4jsz_Kdist1.500_Kmono0.100,8,63,quality_3nq9,0.0,0.233
qpu,prereg_3nq9_random_s20260804102_s009,3nq9,1.5,20.0,1000,968,0,0.968,0.0,0.0,202712.8,168120.0,100.176,4.319642693556958,6.665024070247934,2225.0,27.0,3nq9_Kdist1.500_Kmono20.000,9,83,quality_3nq9,0.0,0.233
qpu,prereg_3nq9_random_s20260804102_s009,4jsz,1.5,20.0,1000,199,34,0.199,0.1708542713567839,0.034,213536.0,178940.0,79.023,1.5660577894828769,3.057848743718593,2590.0,27.0,4jsz_Kdist1.500_Kmono20.000,9,83,quality_3nq9,0.0,0.233
qpu,prereg_3nq9_random_s20260804102_s010,3nq9,6.5,16.0,1000,1000,0,1.0,0.0,0.0,206190.8,171600.0,104.466,5.529915330023906,6.413943099999999,2108.0,24.0,3nq9_Kdist6.500_Kmono16.000,10,289,quality_3nq9,0.0,0.233
