step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,114,2.5,9.0,0.107,0.107,0.003,0.107,1.0,0.998,0.003,0.10721442885771543,1000,998,3,107,208970.0,212930.0,174380.0,178340.0,72.481,94.322
2,118,2.5,13.0,0.035,0.107,0.0,0.035,1.0,0.871,0.0,0.040183696900114814,1000,871,0,35,217834.8,216435.2,183240.0,181840.0,51.425,115.743
3,69,1.5,6.0,0.001,0.107,0.001,0.001,1.0,1.0,0.001,0.001,1000,1000,1,1,214788.4,208785.6,180200.0,174200.0,103.015,115.201
4,49,1.0,7.0,0.002,0.107,0.044,0.002,1.0,0.902,0.044,0.0022172949002217295,1000,902,44,2,209972.8,205465.6,175380.0,170880.0,120.159,89.045
5,88,2.0,4.0,0.002,0.107,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,214935.2,210614.0,180340.0,176020.0,60.437,116.172
6,21,0.5,0.1,0.0,0.107,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203702.0,212491.6,169100.0,177880.0,139.07,79.608
7,419,9.5,20.0,0.0,0.107,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207215.2,212753.6,172620.0,178160.0,54.724,68.437
8,285,6.5,12.0,0.291,0.291,0.0,0.291,1.0,1.0,0.0,0.291,1000,1000,0,291,216434.4,212432.8,181840.0,177840.0,85.503,109.675
9,109,2.5,4.0,0.0,0.291,0.018,0.0,1.0,1.0,0.018,0.0,1000,1000,18,0,200189.6,215198.4,165600.0,180600.0,128.185,97.579
10,316,7.5,1.0,0.0,0.291,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,202648.4,216071.2,168060.0,181480.0,120.393,50.665
11,425,10.0,5.0,0.0,0.291,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208976.8,209017.6,174380.0,174420.0,51.001,118.424
12,325,7.5,10.0,0.0,0.291,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208248.4,211713.2,173660.0,177120.0,91.848,105.321
13,98,2.0,14.0,0.821,0.821,0.006,0.821,0.948,0.95,0.006329113924050633,0.8642105263157894,948,950,6,821,218607.6,213036.0,184020.0,178440.0,80.158,70.261
14,384,9.0,6.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205698.4,211074.8,171100.0,176480.0,100.679,80.52
15,82,1.5,19.0,0.0,0.821,0.0,0.0,0.014,0.965,0.0,0.0,14,965,0,0,202604.4,218208.0,168020.0,183620.0,80.806,68.035
16,113,2.5,8.0,0.001,0.821,0.001,0.001,0.987,1.0,0.0010131712259371835,0.001,987,1000,1,1,215799.6,209690.8,181200.0,175100.0,38.402,104.17
17,122,2.5,17.0,0.0,0.821,0.0,0.0,0.963,0.873,0.0,0.0,963,873,0,0,217075.6,220168.0,182480.0,185560.0,68.779,32.764
18,4,0.1,4.0,0.185,0.821,0.0,0.185,1.0,1.0,0.0,0.185,1000,1000,0,185,217335.2,210608.8,182740.0,176020.0,49.237,74.653
19,29,0.5,8.0,0.0,0.821,0.036,0.0,0.958,0.995,0.037578288100208766,0.0,958,995,36,0,216693.2,212150.4,182100.0,177560.0,58.396,152.282
20,139,3.0,13.0,0.005,0.821,0.0,0.005,0.993,0.867,0.0,0.0057670126874279125,993,867,0,5,208215.6,218257.2,173620.0,183660.0,55.791,65.635
21,77,1.5,14.0,0.0,0.821,0.001,0.0,0.925,0.933,0.001081081081081081,0.0,925,933,1,0,210021.2,210189.2,175420.0,175600.0,51.745,88.053
22,99,2.0,15.0,0.014,0.821,0.0,0.014,1.0,0.433,0.0,0.03233256351039261,1000,433,0,14,202697.2,215935.6,168100.0,181340.0,50.92,91.663
23,119,2.5,14.0,0.0,0.821,0.004,0.0,0.982,0.959,0.004073319755600814,0.0,982,959,4,0,216070.4,215690.4,181480.0,181100.0,114.455,58.305
24,97,2.0,13.0,0.0,0.821,0.0,0.0,0.126,0.922,0.0,0.0,126,922,0,0,211753.6,209833.6,177160.0,175240.0,70.524,110.466
25,265,6.0,13.0,0.0,0.821,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,207438.0,213756.8,172840.0,179160.0,62.518,226.208
26,307,7.0,13.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212376.4,208215.2,177780.0,173620.0,107.341,87.208
27,263,6.0,11.0,0.004,0.821,0.0,0.004,1.0,0.998,0.0,0.004008016032064128,1000,998,0,4,215697.2,217377.2,181100.0,182780.0,47.942,89.432
28,157,3.5,10.0,0.0,0.821,0.018,0.0,1.0,1.0,0.018,0.0,1000,1000,18,0,214660.0,212893.2,180060.0,178300.0,79.331,197.608
29,251,5.5,20.0,0.003,0.821,0.115,0.003,0.644,0.952,0.17857142857142858,0.0031512605042016808,644,952,115,3,207618.8,215936.8,173020.0,181340.0,49.817,125.661
30,189,4.5,0.1,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208015.2,215433.6,173420.0,180840.0,2.49,69.804
31,45,1.0,3.0,0.031,0.821,0.0,0.031,1.0,1.0,0.0,0.031,1000,1000,0,31,215298.8,209755.2,180700.0,175160.0,84.325,117.394
32,434,10.0,14.0,0.023,0.821,0.013,0.023,0.997,0.514,0.013039117352056168,0.04474708171206226,997,514,13,23,215153.6,214444.8,180560.0,179840.0,77.146,112.908
33,236,5.5,5.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206439.6,212044.8,171840.0,177440.0,84.173,54.047
34,420,10.0,0.1,0.001,0.821,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,207839.2,210577.6,173240.0,175980.0,63.566,168.496
35,333,7.5,18.0,0.036,0.821,0.199,0.036,1.0,0.992,0.199,0.036290322580645164,1000,992,199,36,214250.0,210015.2,179660.0,175420.0,103.357,75.492
36,430,10.0,10.0,0.0,0.821,0.93,0.0,1.0,1.0,0.93,0.0,1000,1000,930,0,212115.6,211511.6,177520.0,176920.0,124.283,104.707
37,167,3.5,20.0,0.001,0.821,0.541,0.001,0.998,0.205,0.5420841683366734,0.004878048780487805,998,205,541,1,205574.0,212475.6,170980.0,177880.0,55.954,117.177
38,105,2.5,0.1,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211891.2,215341.2,177300.0,180740.0,50.599,54.5
39,206,4.5,17.0,0.0,0.821,0.0,0.0,1.0,0.969,0.0,0.0,1000,969,0,0,208333.2,212158.4,173740.0,177560.0,86.127,88.394
40,373,8.5,16.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201889.2,211021.2,167300.0,176420.0,80.155,72.119
41,320,7.5,5.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201611.2,213010.8,167020.0,178420.0,78.708,61.498
42,20,0.1,20.0,0.023,0.821,0.007,0.023,0.186,0.122,0.03763440860215054,0.1885245901639344,186,122,7,23,206082.0,210898.4,171480.0,176300.0,68.725,170.062
43,253,6.0,1.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,213253.6,214294.8,178660.0,179700.0,52.114,75.053
44,218,5.0,8.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205970.0,216932.0,171380.0,182340.0,64.989,70.565
45,174,4.0,6.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211198.4,211514.8,176600.0,176920.0,89.893,107.96
46,192,4.5,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211614.0,216712.4,177020.0,182120.0,52.887,192.537
47,359,8.5,2.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,206717.2,211012.4,172120.0,176420.0,62.135,56.714
48,280,6.5,7.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216692.8,210892.8,182100.0,176300.0,100.1,74.965
49,276,6.5,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203756.4,211836.8,169160.0,177240.0,105.334,61.804
50,308,7.0,14.0,0.103,0.821,0.0,0.103,1.0,1.0,0.0,0.103,1000,1000,0,103,214513.2,211017.2,179920.0,176420.0,116.183,130.002
51,181,4.0,13.0,0.048,0.821,0.0,0.048,1.0,1.0,0.0,0.048,1000,1000,0,48,207336.8,203254.8,172740.0,168660.0,125.882,130.717
52,394,9.0,16.0,0.0,0.821,0.003,0.0,1.0,0.759,0.003,0.0,1000,759,3,0,212470.8,217201.6,177880.0,182600.0,127.183,117.291
53,363,8.5,6.0,0.091,0.821,0.0,0.091,1.0,1.0,0.0,0.091,1000,1000,0,91,212612.8,211517.6,178020.0,176920.0,74.157,69.405
54,161,3.5,14.0,0.013,0.821,0.0,0.013,0.996,1.0,0.0,0.013,996,1000,0,13,204935.6,210071.6,170340.0,175480.0,97.685,72.355
55,379,9.0,1.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211650.4,212438.8,177060.0,177840.0,114.569,84.904
56,366,8.5,9.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211751.6,212798.4,177160.0,178200.0,112.904,92.546
57,309,7.0,15.0,0.063,0.821,0.0,0.063,1.0,0.998,0.0,0.06312625250501001,1000,998,0,63,206716.8,217072.0,172120.0,182480.0,136.638,75.662
58,389,9.0,11.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212196.4,218616.0,177600.0,184020.0,96.62,102.954
59,242,5.5,11.0,0.008,0.821,0.0,0.008,1.0,1.0,0.0,0.008,1000,1000,0,8,205940.0,211618.4,171340.0,177020.0,72.758,82.187
60,112,2.5,7.0,0.008,0.821,0.0,0.008,0.999,1.0,0.0,0.008,999,1000,0,8,210753.2,214935.6,176160.0,180340.0,81.261,64.171
61,234,5.5,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207614.0,213933.2,173020.0,179340.0,50.01,167.847
62,54,1.0,12.0,0.0,0.821,0.137,0.0,0.989,0.997,0.1385237613751264,0.0,989,997,137,0,202652.4,216042.4,168060.0,181440.0,105.641,53.105
63,424,10.0,4.0,0.0,0.821,0.0,0.0,1.0,0.995,0.0,0.0,1000,995,0,0,211396.4,213530.8,176800.0,178940.0,45.942,52.8
64,198,4.5,9.0,0.0,0.821,0.086,0.0,1.0,1.0,0.086,0.0,1000,1000,86,0,209978.8,213515.6,175380.0,178920.0,93.274,98.366
65,141,3.0,15.0,0.01,0.821,0.008,0.01,0.678,0.45,0.011799410029498525,0.022222222222222223,678,450,8,10,217475.6,219016.4,182880.0,184420.0,48.259,52.468
66,286,6.5,13.0,0.0,0.821,0.558,0.0,0.985,1.0,0.566497461928934,0.0,985,1000,558,0,215938.8,211793.2,181340.0,177200.0,24.114,91.33
67,343,8.0,7.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203011.2,211869.2,168420.0,177280.0,125.313,89.847
68,246,5.5,15.0,0.0,0.821,0.108,0.0,1.0,1.0,0.108,0.0,1000,1000,108,0,215472.4,211160.0,180880.0,176560.0,67.807,116.615
69,95,2.0,11.0,0.001,0.821,0.0,0.001,1.0,0.155,0.0,0.0064516129032258064,1000,155,0,1,205193.6,211521.2,170600.0,176920.0,84.295,92.046
70,212,5.0,2.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,211892.0,210791.2,177300.0,176200.0,93.037,130.995
71,318,7.5,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205334.0,210876.0,170740.0,176280.0,68.728,45.206
72,426,10.0,6.0,0.002,0.821,0.0,0.002,1.0,1.0,0.0,0.002,1000,1000,0,2,216157.6,214430.0,181560.0,179840.0,110.51,61.297
73,151,3.5,4.0,0.001,0.821,0.031,0.001,1.0,1.0,0.031,0.001,1000,1000,31,1,216572.4,209650.0,181980.0,175060.0,103.052,100.228
74,319,7.5,4.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208472.0,212658.8,173880.0,178060.0,48.278,77.675
75,293,6.5,20.0,0.0,0.821,0.0,0.0,1.0,0.803,0.0,0.0,1000,803,0,0,203470.0,218214.8,168880.0,183620.0,74.603,107.107
76,239,5.5,8.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205375.2,212799.6,170780.0,178200.0,38.837,79.663
77,200,4.5,11.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,202753.6,216696.4,168160.0,182100.0,153.631,120.501
78,211,5.0,1.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,219392.8,216026.8,184800.0,181440.0,91.902,92.388
79,6,0.1,6.0,0.034,0.821,0.001,0.034,1.0,0.996,0.001,0.03413654618473896,1000,996,1,34,218613.6,211295.6,184020.0,176700.0,162.521,106.037
80,404,9.5,5.0,0.001,0.821,0.0,0.001,1.0,1.0,0.0,0.001,1000,1000,0,1,204830.4,214329.6,170240.0,179740.0,99.564,52.368
81,135,3.0,9.0,0.023,0.821,0.0,0.023,1.0,0.991,0.0,0.02320887991927346,1000,991,0,23,217712.0,213252.0,183120.0,178660.0,102.638,90.091
82,213,5.0,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215154.0,212040.0,180560.0,177440.0,1.812,76.203
83,314,7.0,20.0,0.0,0.821,0.036,0.0,0.973,1.0,0.03699897225077081,0.0,973,1000,36,0,207871.2,211714.8,173280.0,177120.0,119.306,76.683
84,299,7.0,5.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,209387.6,234075.2,174800.0,175420.0,92.209,195.539
85,365,8.5,8.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207880.0,215531.6,173280.0,180940.0,61.473,82.594
86,14,0.1,14.0,0.02,0.821,0.0,0.02,1.0,0.489,0.0,0.0408997955010225,1000,489,0,20,209791.6,214515.2,175200.0,179920.0,113.694,122.494
87,221,5.0,11.0,0.003,0.821,0.084,0.003,1.0,1.0,0.084,0.003,1000,1000,84,3,211870.4,212896.0,177280.0,178300.0,70.128,92.495
88,375,8.5,18.0,0.219,0.821,0.0,0.219,1.0,1.0,0.0,0.219,1000,1000,0,219,216031.2,216581.2,181440.0,181980.0,42.536,75.845
89,164,3.5,17.0,0.01,0.821,0.075,0.01,0.64,0.901,0.1171875,0.011098779134295227,640,901,75,10,214152.0,215696.8,179560.0,181100.0,79.184,113.498
90,423,10.0,3.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,201431.6,219890.8,166840.0,185300.0,116.806,50.751
91,43,1.0,1.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216582.8,216592.4,181980.0,181980.0,83.904,52.571
92,258,6.0,6.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,212970.4,218117.6,178380.0,183520.0,43.202,104.83
93,421,10.0,1.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210250.8,212220.8,175660.0,177620.0,84.436,78.48
94,345,8.0,9.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,200390.4,211514.4,165800.0,176920.0,79.596,91.144
95,215,5.0,5.0,0.003,0.821,0.0,0.003,1.0,1.0,0.0,0.003,1000,1000,0,3,212977.6,213010.0,178380.0,178420.0,62.023,96.12
96,330,7.5,15.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,215473.6,211892.8,180880.0,177300.0,77.727,143.576
97,70,1.5,7.0,0.0,0.821,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,203201.6,210608.0,168600.0,176020.0,2.192,108.167
98,405,9.5,6.0,0.0,0.821,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,207841.2,212537.6,173240.0,177940.0,56.349,80.398
99,46,1.0,4.0,0.072,0.821,0.0,0.072,1.0,1.0,0.0,0.072,1000,1000,0,72,215793.2,215836.8,181200.0,181240.0,70.508,61.638
100,124,2.5,19.0,0.022,0.821,0.001,0.022,0.587,0.27,0.0017035775127768314,0.08148148148148149,587,270,1,22,211757.2,208755.6,177160.0,174160.0,73.082,117.736
