mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_4jsz_bo_s20260804005_s001,3nq9,4.0,13.0,1000,1000,1,1.0,0.001,0.001,203403.2,168800.0,136.107,1.8002232724330351,7.1663243,2002.0,23.0,3nq9_Kdist4.000_Kmono13.000,1,181,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s001,4jsz,4.0,13.0,1000,167,0,0.167,0.0,0.0,210340.0,175740.0,74.983,3.30132026619654,3.7599035928143714,2621.0,28.0,4jsz_Kdist4.000_Kmono13.000,1,181,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s002,3nq9,8.0,12.0,1000,1000,0,1.0,0.0,0.0,205581.6,170980.0,94.968,3.5630252560487814,6.984776200000001,2058.0,24.0,3nq9_Kdist8.000_Kmono12.000,2,348,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s002,4jsz,8.0,12.0,1000,1000,0,1.0,0.0,0.0,209972.4,175380.0,133.818,2.1271392401225127,3.4235655000000005,2421.0,26.0,4jsz_Kdist8.000_Kmono12.000,2,348,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s003,3nq9,5.5,4.0,1000,1000,0,1.0,0.0,0.0,207973.6,173380.0,62.62,3.9617880095574427,4.9635072000000005,2296.0,27.0,3nq9_Kdist5.500_Kmono4.000,3,235,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s003,4jsz,5.5,4.0,1000,1000,0,1.0,0.0,0.0,214262.8,179660.0,88.645,4.175712453475427,4.4240049,2409.0,26.0,4jsz_Kdist5.500_Kmono4.000,3,235,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_bo_s20260804005_s004,3nq9,4.5,13.0,1000,910,40,0.91,0.04395604395604396,0.04,213536.8,178940.0,64.539,0.8662274528090187,3.8131995604395614,2182.0,26.0,3nq9_Kdist4.500_Kmono13.000,4,202,quality_4jsz,0.008,0.008
qpu,prereg_4jsz_bo_s20260804005_s004,4jsz,4.5,13.0,1000,995,8,0.995,0.008040201005025126,0.008,216975.6,182380.0,48.138,1.7873505531931901,3.6222853266331656,2829.0,30.0,4jsz_Kdist4.500_Kmono13.000,4,202,quality_4jsz,0.008,0.008
qpu,prereg_4jsz_bo_s20260804005_s005,3nq9,8.0,19.0,1000,999,6,0.999,0.006006006006006006,0.006,204069.6,169480.0,85.265,1.636653292545493,6.9308003003003,2169.0,25.0,3nq9_Kdist8.000_Kmono19.000,5,355,quality_4jsz,0.155,0.155
qpu,prereg_4jsz_bo_s20260804005_s005,4jsz,8.0,19.0,1000,994,155,0.994,0.15593561368209255,0.155,214191.2,179600.0,115.618,0.5574488765797267,3.3218561368209256,2563.0,29.0,4jsz_Kdist8.000_Kmono19.000,5,355,quality_4jsz,0.155,0.155
qpu,prereg_4jsz_bo_s20260804005_s006,3nq9,3.5,7.0,1000,1000,0,1.0,0.0,0.0,201611.2,167020.0,111.663,4.962811341353332,5.7911850000000005,2077.0,23.0,3nq9_Kdist3.500_Kmono7.000,6,154,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s006,4jsz,3.5,7.0,1000,1000,0,1.0,0.0,0.0,209757.2,175160.0,77.211,2.700079345258632,4.5348821,2529.0,26.0,4jsz_Kdist3.500_Kmono7.000,6,154,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s007,3nq9,4.0,11.0,1000,1000,0,1.0,0.0,0.0,203014.4,168420.0,103.155,3.7650877190778136,5.1831661,2167.0,26.0,3nq9_Kdist4.000_Kmono11.000,7,179,quality_4jsz,0.008,0.155
qpu,prereg_4jsz_bo_s20260804005_s007,4jsz,4.0,11.0,1000,929,8,0.929,0.008611410118406888,0.008,212802.0,178200.0,69.108,1.5660577894828769,4.251394402583423,2572.0,27.0,4jsz_Kdist4.000_Kmono11.000,7,179,quality_4jsz,0.008,0.155
qpu,prereg_4jsz_bo_s20260804005_s008,3nq9,9.0,3.0,1000,1000,0,1.0,0.0,0.0,208932.8,174340.0,54.173,5.773757450776005,6.7051771,2327.0,28.0,3nq9_Kdist9.000_Kmono3.000,8,381,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s008,4jsz,9.0,3.0,1000,1000,0,1.0,0.0,0.0,216476.0,181880.0,117.014,3.990370705088011,4.434255800000001,2487.0,26.0,4jsz_Kdist9.000_Kmono3.000,8,381,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s009,3nq9,8.5,14.0,1000,1000,0,1.0,0.0,0.0,206796.8,172200.0,78.139,2.861772164313278,4.9587006,2116.0,25.0,3nq9_Kdist8.500_Kmono14.000,9,371,quality_4jsz,0.017,0.155
qpu,prereg_4jsz_bo_s20260804005_s009,4jsz,8.5,14.0,1000,1000,17,1.0,0.017,0.017,214038.4,179440.0,50.492,0.991756522539679,3.9401365000000004,2630.0,29.0,4jsz_Kdist8.500_Kmono14.000,9,371,quality_4jsz,0.017,0.155
qpu,prereg_4jsz_bo_s20260804005_s010,3nq9,3.5,3.0,1000,1000,0,1.0,0.0,0.0,209976.8,175380.0,84.922,4.66284763031773,5.471309199999999,2155.0,24.0,3nq9_Kdist3.500_Kmono3.000,10,150,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s010,4jsz,3.5,3.0,1000,1000,0,1.0,0.0,0.0,210474.0,175880.0,121.712,3.3768432004392546,4.3622963,2374.0,24.0,4jsz_Kdist3.500_Kmono3.000,10,150,quality_4jsz,0.0,0.155
qpu,prereg_4jsz_bo_s20260804005_s011,3nq9,4.0,20.0,1000,129,0,0.129,0.0,0.0,205581.6,170980.0,99.025,2.245531340239988,4.411017829457364,2054.0,25.0,3nq9_Kdist4.000_Kmono20.000,11,188,quality_4jsz,0.423,0.423
qpu,prereg_4jsz_bo_s20260804005_s011,4jsz,4.0,20.0,1000,699,423,0.699,0.6051502145922747,0.423,218872.0,184280.0,117.178,1.870126399471443,2.7118825464949934,2396.0,27.0,4jsz_Kdist4.000_Kmono20.000,11,188,quality_4jsz,0.423,0.423
qpu,prereg_4jsz_bo_s20260804005_s012,3nq9,4.5,18.0,1000,1000,0,1.0,0.0,0.0,211011.2,176420.0,62.811,2.978479645725317,4.9553175,2199.0,26.0,3nq9_Kdist4.500_Kmono18.000,12,207,quality_4jsz,0.013,0.423
qpu,prereg_4jsz_bo_s20260804005_s012,4jsz,4.5,18.0,1000,623,13,0.623,0.02086677367576244,0.013,214391.2,179800.0,52.989,1.8039636914306223,3.715890850722311,2613.0,28.0,4jsz_Kdist4.500_Kmono18.000,12,207,quality_4jsz,0.013,0.423
qpu,prereg_4jsz_bo_s20260804005_s013,3nq9,5.5,1.0,1000,1000,0,1.0,0.0,0.0,206828.8,172240.0,133.538,3.619558179720189,4.7037334,2014.0,23.0,3nq9_Kdist5.500_Kmono1.000,13,232,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s013,4jsz,5.5,1.0,1000,1000,0,1.0,0.0,0.0,216340.0,181740.0,90.162,2.3324281113254837,4.2327803,2500.0,26.0,4jsz_Kdist5.500_Kmono1.000,13,232,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s014,3nq9,8.5,15.0,1000,1000,0,1.0,0.0,0.0,216191.2,181600.0,73.33,4.418200349325062,5.771691199999999,2042.0,23.0,3nq9_Kdist8.500_Kmono15.000,14,372,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s014,4jsz,8.5,15.0,1000,1000,0,1.0,0.0,0.0,215038.4,180440.0,142.422,2.5239503237211247,4.5707688,2379.0,25.0,4jsz_Kdist8.500_Kmono15.000,14,372,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s015,3nq9,10.0,2.0,1000,1000,19,1.0,0.019,0.019,213428.8,178840.0,64.873,1.7305715930651915,5.1624082,2149.0,26.0,3nq9_Kdist10.000_Kmono2.000,15,422,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s015,4jsz,10.0,2.0,1000,1000,0,1.0,0.0,0.0,205875.6,171280.0,53.645,2.729474324263226,3.4575909999999994,2661.0,29.0,4jsz_Kdist10.000_Kmono2.000,15,422,quality_4jsz,0.0,0.423
qpu,prereg_4jsz_bo_s20260804005_s016,3nq9,1.0,11.0,1000,999,6,0.999,0.006006006006006006,0.006,205968.0,171380.0,102.866,1.0362962896778123,5.377685785785786,2004.0,23.0,3nq9_Kdist1.000_Kmono11.000,16,53,quality_4jsz,0.01,0.423
qpu,prereg_4jsz_bo_s20260804005_s016,4jsz,1.0,11.0,1000,787,10,0.787,0.012706480304955527,0.01,208756.8,174160.0,88.858,0.6898883967715344,3.894838246505718,2468.0,27.0,4jsz_Kdist1.000_Kmono11.000,16,53,quality_4jsz,0.01,0.423
qpu,prereg_4jsz_bo_s20260804005_s017,3nq9,7.0,15.0,1000,1000,0,1.0,0.0,0.0,206336.4,171740.0,84.677,2.7607083058606845,4.154061300000001,2019.0,24.0,3nq9_Kdist7.000_Kmono15.000,17,309,quality_4jsz,0.003,0.423
qpu,prereg_4jsz_bo_s20260804005_s017,4jsz,7.0,15.0,1000,1000,3,1.0,0.003,0.003,211657.2,177060.0,52.939,1.8272569936407654,3.4705765,2683.0,29.0,4jsz_Kdist7.000_Kmono15.000,17,309,quality_4jsz,0.003,0.423
qpu,prereg_4jsz_bo_s20260804005_s018,3nq9,2.5,8.0,1000,1000,0,1.0,0.0,0.0,217192.0,182600.0,131.988,3.6175684601131985,5.523748799999999,1825.0,20.0,3nq9_Kdist2.500_Kmono8.000,18,113,quality_4jsz,0.63,0.63
