step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,130,3.0,4.0,0.006,0.006,0.007,0.006,1.0,1.0,0.007,0.006,1000,1000,7,6,210469.2,212610.8,175880.0,178020.0,90.399,74.612
2,248,5.5,17.0,0.0,0.006,0.0,0.0,1.0,0.998,0.0,0.0,1000,998,0,0,208616.0,212799.6,174020.0,178200.0,99.343,107.227
3,29,0.5,8.0,0.002,0.006,0.0,0.002,1.0,0.351,0.0,0.005698005698005698,1000,351,0,2,212474.0,213014.8,177880.0,178420.0,124.345,67.076
4,118,2.5,13.0,0.001,0.006,0.0,0.001,1.0,0.033,0.0,0.030303030303030304,1000,33,0,1,209892.8,216438.4,175300.0,181840.0,85.891,70.377
5,336,8.0,0.1,0.0,0.006,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207330.8,213648.8,172740.0,179060.0,80.979,85.908
6,331,7.5,16.0,0.03,0.03,0.002,0.03,0.972,0.784,0.00205761316872428,0.03826530612244898,972,784,2,30,214192.0,214576.8,179600.0,179980.0,105.908,83.366
7,31,0.5,10.0,0.117,0.117,0.006,0.117,0.227,0.747,0.02643171806167401,0.1566265060240964,227,747,6,117,204694.4,214297.6,170100.0,179700.0,43.352,88.074
8,63,1.5,0.1,0.0,0.117,0.0,0.0,0.993,1.0,0.0,0.0,993,1000,0,0,208485.6,207384.0,173880.0,172780.0,95.02,100.694
9,83,1.5,20.0,0.002,0.117,0.0,0.002,0.036,0.018,0.0,0.1111111111111111,36,18,0,2,213790.0,215933.2,179200.0,181340.0,52.156,58.173
10,289,6.5,16.0,0.0,0.117,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205578.0,211016.0,170980.0,176420.0,124.473,109.211
11,11,0.1,11.0,0.0,0.117,0.0,0.0,0.987,1.0,0.0,0.0,987,1000,0,0,214008.8,212610.0,179420.0,178020.0,74.009,53.773
12,406,9.5,7.0,0.0,0.117,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,208788.8,212972.0,174200.0,178380.0,57.785,108.728
13,17,0.1,17.0,0.186,0.186,0.019,0.186,0.516,0.993,0.03682170542635659,0.18731117824773413,516,993,19,186,204932.8,212011.2,170340.0,177420.0,95.058,75.23
14,407,9.5,8.0,0.0,0.186,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210528.8,211608.8,175940.0,177020.0,64.938,79.199
15,314,7.0,20.0,0.115,0.186,0.0,0.115,0.995,0.963,0.0,0.11941848390446522,995,963,0,115,202243.6,214939.6,167660.0,180340.0,55.875,99.13
16,356,8.0,20.0,0.027,0.186,0.0,0.027,0.963,0.929,0.0,0.02906350914962325,963,929,0,27,230768.8,219011.6,172120.0,184420.0,71.283,103.391
17,212,5.0,2.0,0.0,0.186,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,207614.0,214833.2,173020.0,180240.0,2.484,128.873
18,329,7.5,14.0,0.001,0.186,0.001,0.001,0.995,0.922,0.0010050251256281408,0.0010845986984815619,995,922,1,1,215527.6,220395.2,180940.0,185800.0,74.755,58.874
19,292,6.5,19.0,0.0,0.186,0.0,0.0,1.0,0.997,0.0,0.0,1000,997,0,0,233204.4,239351.2,174560.0,180700.0,57.97,74.184
20,382,9.0,4.0,0.0,0.186,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,204191.6,215073.2,169600.0,180480.0,123.312,45.639
