mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,prereg_4jsz_random_s20260804103_s001,3nq9,9.5,2.0,1000,1000,0,1.0,0.0,0.0,205974.4,171380.0,48.887,5.181284020496146,6.000125900000001,2175.0,26.0,3nq9_Kdist9.500_Kmono2.000,1,401,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s001,4jsz,9.5,2.0,1000,1000,0,1.0,0.0,0.0,219393.2,184800.0,144.803,3.704938346672685,4.108002399999999,2527.0,28.0,4jsz_Kdist9.500_Kmono2.000,1,401,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s002,3nq9,3.0,4.0,1000,1000,0,1.0,0.0,0.0,216189.6,181600.0,127.809,3.7758201607741064,6.2122916,1955.0,23.0,3nq9_Kdist3.000_Kmono4.000,2,130,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s002,4jsz,3.0,4.0,1000,1000,0,1.0,0.0,0.0,211790.8,177200.0,77.441,2.2250009319067767,3.7987295000000003,2563.0,27.0,4jsz_Kdist3.000_Kmono4.000,2,130,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s003,3nq9,9.5,19.0,1000,1000,0,1.0,0.0,0.0,214829.2,180240.0,58.763,2.514616074075722,5.9142117999999995,2228.0,26.0,3nq9_Kdist9.500_Kmono19.000,3,418,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s003,4jsz,9.5,19.0,1000,1000,0,1.0,0.0,0.0,212796.4,178200.0,81.556,3.010606920102198,4.427747799999999,2655.0,28.0,4jsz_Kdist9.500_Kmono19.000,3,418,quality_4jsz,0.0,0.0
qpu,prereg_4jsz_random_s20260804103_s004,3nq9,9.5,15.0,1000,1000,57,1.0,0.057,0.057,211191.2,176600.0,134.977,1.478715824154914,4.280995999999999,1989.0,22.0,3nq9_Kdist9.500_Kmono15.000,4,414,quality_4jsz,0.012,0.012
qpu,prereg_4jsz_random_s20260804103_s004,4jsz,9.5,15.0,1000,989,12,0.989,0.012133468149646108,0.012,217330.0,182740.0,115.112,1.3443712284930829,4.517569464105157,2332.0,24.0,4jsz_Kdist9.500_Kmono15.000,4,414,quality_4jsz,0.012,0.012
qpu,prereg_4jsz_random_s20260804103_s005,3nq9,9.0,0.1,1000,1000,0,1.0,0.0,0.0,204650.8,170060.0,109.037,3.573298998667424,4.8678671,2013.0,24.0,3nq9_Kdist9.000_Kmono0.100,5,378,quality_4jsz,0.0,0.012
qpu,prereg_4jsz_random_s20260804103_s005,4jsz,9.0,0.1,1000,1000,0,1.0,0.0,0.0,210018.4,175420.0,153.87,2.3069891351599394,2.9366480999999998,2282.0,23.0,4jsz_Kdist9.000_Kmono0.100,5,378,quality_4jsz,0.0,0.012
qpu,prereg_4jsz_random_s20260804103_s006,3nq9,7.5,9.0,1000,1000,0,1.0,0.0,0.0,204520.8,169940.0,3.001,3.9864093606077513,5.5239983,2361.0,28.0,3nq9_Kdist7.500_Kmono9.000,6,324,quality_4jsz,0.0,0.012
qpu,prereg_4jsz_random_s20260804103_s006,4jsz,7.5,9.0,1000,1000,0,1.0,0.0,0.0,209652.0,175060.0,155.194,2.318586135579816,5.175405799999999,2399.0,26.0,4jsz_Kdist7.500_Kmono9.000,6,324,quality_4jsz,0.0,0.012
qpu,prereg_4jsz_random_s20260804103_s007,3nq9,8.5,19.0,1000,1000,1,1.0,0.001,0.001,204648.8,170060.0,127.625,1.9114779331420204,4.1061076,1928.0,22.0,3nq9_Kdist8.500_Kmono19.000,7,376,quality_4jsz,0.005,0.012
qpu,prereg_4jsz_random_s20260804103_s007,4jsz,8.5,19.0,1000,199,5,0.199,0.02512562814070352,0.005,214198.0,179600.0,63.018,1.1970664141976441,4.171022613065325,2641.0,29.0,4jsz_Kdist8.500_Kmono19.000,7,376,quality_4jsz,0.005,0.012
qpu,prereg_4jsz_random_s20260804103_s008,3nq9,2.5,10.0,1000,1000,0,1.0,0.0,0.0,207433.6,172840.0,67.529,4.574252898401775,6.9615373,2131.0,25.0,3nq9_Kdist2.500_Kmono10.000,8,115,quality_4jsz,0.009,0.012
qpu,prereg_4jsz_random_s20260804103_s008,4jsz,2.5,10.0,1000,1000,9,1.0,0.009,0.009,216335.6,181740.0,42.476,1.5208080507120034,2.9836922000000006,2836.0,31.0,4jsz_Kdist2.500_Kmono10.000,8,115,quality_4jsz,0.009,0.012
qpu,prereg_4jsz_random_s20260804103_s009,3nq9,8.0,13.0,1000,1000,30,1.0,0.03,0.03,211829.6,177240.0,56.644,1.7610921871147205,2.3372208,2140.0,24.0,3nq9_Kdist8.000_Kmono13.000,9,349,quality_4jsz,0.034,0.034
