step,candidate_idx,kdist,kmono,objective_value,best_so_far,q_3nq9,q_4jsz,v_3nq9,v_4jsz,success_3nq9,success_4jsz,n_valid_3nq9,n_valid_4jsz,n_success_valid_3nq9,n_success_valid_4jsz,qpu_access_time_3nq9,qpu_access_time_4jsz,qpu_sampling_time_3nq9,qpu_sampling_time_4jsz,sample_elapsed_sec_3nq9,sample_elapsed_sec_4jsz
1,63,1.5,0.1,0.012,0.012,0.012,0.0,1.0,1.0,0.012,0.0,1000,1000,12,0,211524.4,211666.8,176920.0,177060.0,31.732,103.387
2,82,1.5,19.0,0.297,0.297,0.297,0.0,0.761,0.014,0.3902759526938239,0.0,761,14,297,0,211569.2,217834.8,176980.0,183240.0,95.738,48.2
3,81,1.5,18.0,0.014,0.297,0.014,0.002,0.148,0.684,0.0945945945945946,0.0029239766081871343,148,684,14,2,212473.2,210657.6,177880.0,176060.0,96.419,64.814
4,290,6.5,17.0,0.008,0.297,0.008,0.002,1.0,0.972,0.008,0.00205761316872428,1000,972,8,2,208015.6,215076.8,173420.0,180480.0,95.795,77.071
5,137,3.0,11.0,0.051,0.297,0.051,0.001,0.968,1.0,0.05268595041322314,0.001,968,1000,51,1,212799.2,210761.6,178200.0,176160.0,49.391,142.334
6,234,5.5,3.0,0.449,0.449,0.449,0.0,1.0,1.0,0.449,0.0,1000,1000,449,0,212878.8,217972.4,178280.0,183380.0,45.46,118.653
7,232,5.5,1.0,0.0,0.449,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210433.6,211394.0,175840.0,176800.0,130.272,122.917
8,93,2.0,9.0,0.0,0.449,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,210012.8,212373.6,175420.0,177780.0,37.757,123.152
9,280,6.5,7.0,0.0,0.449,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,205335.6,211006.8,170740.0,176420.0,79.209,132.831
10,203,4.5,14.0,0.323,0.449,0.323,0.0,1.0,1.0,0.323,0.0,1000,1000,323,0,215152.8,209755.6,180560.0,175160.0,80.246,92.513
11,162,3.5,15.0,0.367,0.449,0.367,0.0,0.942,1.0,0.3895966029723992,0.0,942,1000,367,0,211468.4,210613.6,176880.0,176020.0,40.928,69.219
12,439,10.0,19.0,0.001,0.449,0.001,0.0,1.0,1.0,0.001,0.0,1000,1000,1,0,211513.2,213756.4,176920.0,179160.0,77.664,97.956
13,222,5.0,12.0,0.003,0.449,0.003,0.0,1.0,0.987,0.003,0.0,1000,987,3,0,210572.4,214579.2,175980.0,179980.0,88.341,79.593
14,235,5.5,4.0,0.0,0.449,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,218372.0,214931.6,183780.0,180340.0,51.659,73.525
15,396,9.0,18.0,0.113,0.449,0.113,0.118,1.0,0.789,0.113,0.14955640050697086,1000,789,113,118,215153.6,211871.2,180560.0,177280.0,40.849,84.763
16,379,9.0,1.0,0.0,0.449,0.0,0.0,1.0,1.0,0.0,0.0,1000,1000,0,0,216436.4,213296.0,181840.0,178700.0,64.69,61.192
