mode,query_tag,ligand,kdist,kmono,n_reads,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time,qpu_sampling_time,sample_elapsed_sec,mRMSD,avg_RMSD,physical_qubits,max_chain_length,raw_case_id,step,candidate_idx,objective,objective_value,best_so_far
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s001,3nq9,9.5,19.0,1000,1000,0,1.0,0.0,0.0,209017.6,174420.0,134.496,2.9845333952357085,3.9286180000000006,1924.0,22.0,3nq9_Kdist9.500_Kmono19.000,1,418,quality_4jsz,0.0,0.0
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s001,4jsz,9.5,19.0,1000,1000,0,1.0,0.0,0.0,212476.8,177880.0,85.713,2.1611595397982604,3.9745413,2562.0,28.0,4jsz_Kdist9.500_Kmono19.000,1,418,quality_4jsz,0.0,0.0
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s002,3nq9,5.0,10.0,1000,1000,33,1.0,0.033,0.033,209941.2,175340.0,49.095,1.4329611274248915,4.2470104,2164.0,24.0,3nq9_Kdist5.000_Kmono10.000,2,220,quality_4jsz,0.093,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s002,4jsz,5.0,10.0,1000,1000,93,1.0,0.093,0.093,206656.0,172060.0,73.905,1.0898109585909088,2.7643597,2679.0,29.0,4jsz_Kdist5.000_Kmono10.000,2,220,quality_4jsz,0.093,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s003,3nq9,4.0,1.0,1000,1000,0,1.0,0.0,0.0,208752.4,174160.0,89.305,2.7601807621755174,4.5538785,2113.0,25.0,3nq9_Kdist4.000_Kmono1.000,3,169,quality_4jsz,0.0,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s003,4jsz,4.0,1.0,1000,1000,0,1.0,0.0,0.0,214256.0,179660.0,106.373,2.3652175675734997,4.5195571999999995,2323.0,25.0,4jsz_Kdist4.000_Kmono1.000,3,169,quality_4jsz,0.0,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s004,3nq9,8.0,1.0,1000,1000,0,1.0,0.0,0.0,202514.0,167920.0,110.266,5.132503255536228,5.950194299999999,1990.0,24.0,3nq9_Kdist8.000_Kmono1.000,4,337,quality_4jsz,0.0,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s004,4jsz,8.0,1.0,1000,1000,0,1.0,0.0,0.0,211399.6,176800.0,142.072,2.4611647022427836,4.298380300000001,2296.0,23.0,4jsz_Kdist8.000_Kmono1.000,4,337,quality_4jsz,0.0,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s005,3nq9,9.0,16.0,1000,1000,0,1.0,0.0,0.0,208575.2,173980.0,148.962,3.7998602852585366,5.614791200000001,1894.0,23.0,3nq9_Kdist9.000_Kmono16.000,5,394,quality_4jsz,0.0,0.093
qpu,online_bo_v113_b100_quality_4jsz_n20_x0p1_r10_chain_20260405_025657_s005,4jsz,9.0,16.0,1000,1000,0,1.0,0.0,0.0,214578.8,179980.0,70.215,2.263751787108223,4.268478000000001,2448.0,26.0,4jsz_Kdist9.000_Kmono16.000,5,394,quality_4jsz,0.0,0.093
