ligand,mode,variant,setting,n_repeats,quality_mean,quality_min,quality_max,tts_0p99_mean_sec,tts_0p99_min_sec,tts_0p99_max_sec
3nq9,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,10,0.8688999999999998,0.847,0.889,0.0022421956251844,0.0020725325487412,0.0024268102590705
4jsz,anneal_schedule,bangbang_monotone,anneal_schedule|bangbang_monotone,10,0.8149000000000001,0.777,0.854,0.0027121797157746,0.0023756237471062,0.0030461838479956
3nq9,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,10,0.9393,0.915,0.958,0.0016215289017978,0.0014372095007467,0.0018482291977001
4jsz,anneal_schedule,cubic_smoothstep,anneal_schedule|cubic_smoothstep,10,0.8802,0.849,0.901,0.0021537321156993,0.0019766355703837,0.0024180358803017
3nq9,anneal_schedule,fourier,anneal_schedule|fourier,10,0.9418,0.922,0.962,0.0015993154870335,0.0013932237335707,0.0017859640406167
4jsz,anneal_schedule,fourier,anneal_schedule|fourier,10,0.8827999999999999,0.857,0.898,0.0021319446584905,0.0020024849142128,0.0023503585899912
3nq9,anneal_schedule,linear,anneal_schedule|linear,10,0.9371,0.92,0.957,0.0016439128455667,0.0014478401234705,0.0018037206120256
4jsz,anneal_schedule,linear,anneal_schedule|linear,10,0.8926000000000001,0.876,0.909,0.0020482663157739,0.001907033752693,0.0021897095568133
3nq9,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,10,0.9422999999999998,0.932,0.953,0.0015961386029025,0.0014900790783604,0.0016948131095257
4jsz,anneal_schedule,lowpass_linear,anneal_schedule|lowpass_linear,10,0.8744000000000002,0.859,0.894,0.0022031885989758,0.0020368063469872,0.0023334600359867
3nq9,anneal_schedule,pause_quench,anneal_schedule|pause_quench,10,0.9414,0.925,0.955,0.001603834465717,0.0014690953251625,0.0017588150675345
4jsz,anneal_schedule,pause_quench,anneal_schedule|pause_quench,10,0.8786000000000002,0.859,0.897,0.0021674191875105,0.0020109178037098,0.0023332719734639
