ligand,annealing_time,n_repeats,quality_mean,quality_min,quality_max,tts_0p99_mean_sec,tts_0p99_min_sec,tts_0p99_max_sec
3nq9,0.5,10,0.6644,0.652,0.681,0.0008005997931321193,0.0007648385208448921,0.0008278857250429014
3nq9,1.0,10,0.7356,0.706,0.756,0.0006591311166674245,0.0006211454140988527,0.0007157304416339967
3nq9,2.0,10,0.7831,0.76,0.797,0.0005764438440229248,0.0005523722909069235,0.0006171780221641411
3nq9,5.0,10,0.8294,0.815,0.856,0.0005059775999250612,0.0004616239133248913,0.0005301651356235665
3nq9,10.0,10,0.8564,0.84,0.876,0.0004728508233153679,0.0004395869540198701,0.0005007287421663102
3nq9,20.0,10,0.8776999999999999,0.853,0.898,0.00045856592729300846,0.00042215056738893574,0.0005026164437726456
3nq9,50.0,10,0.8916999999999999,0.882,0.906,0.0004956278630683756,0.0004659976431120963,0.0005155809969927309
3nq9,100.0,10,0.9073,0.894,0.933,0.0005597113774067266,0.0004928082311641229,0.0005935400443926458
3nq9,200.0,10,0.9231,0.893,0.947,0.0006976779587412879,0.0006102573287191634,0.0008020883868428795
3nq9,500.0,10,0.9350999999999999,0.913,0.951,0.0011588520187751606,0.0010524628755348433,0.0012999010150857946
3nq9,800.0,10,0.9436,0.93,0.953,0.0015829141093728558,0.00148995919000801,0.0017131497465156461
4jsz,0.5,10,0.8958999999999999,0.875,0.915,0.0003928254085199696,0.0003606490057351414,0.0004275365750494634
4jsz,1.0,10,0.8930999999999999,0.871,0.91,0.00039849737274914594,0.0003701661269406322,0.00043523670063480384
4jsz,2.0,10,0.8791,0.859,0.898,0.0004239939439434481,0.00039247939016846134,0.00045734924912856935
4jsz,5.0,10,0.8899000000000001,0.867,0.934,0.00041193351187385696,0.0003347045365736383,0.00045095558980001136
4jsz,10.0,10,0.9173,0.901,0.931,0.0003740584514283484,0.00034888143889687386,0.00040334348418120274
4jsz,20.0,10,0.9372,0.915,0.954,0.00035309113976199217,0.0003178960476056224,0.00039707782083073874
4jsz,50.0,10,0.9568000000000001,0.938,0.981,0.0003532869094953774,0.00028183297886260716,0.00040170641074707865
4jsz,100.0,10,0.9665999999999999,0.948,0.983,0.0003941729520507436,0.0003306510939801341,0.000455689660171188
4jsz,200.0,10,0.9758000000000001,0.972,0.98,0.00048552609768804674,0.00046210586296185354,0.0005055916930675276
4jsz,500.0,10,0.9808999999999999,0.97,0.989,0.0008017863199748659,0.0007071882094507009,0.0009095300622539219
4jsz,800.0,10,0.9841000000000001,0.974,0.991,0.0010980915255301153,0.0009703496182511589,0.001252407962641282
