ligand,method,run,final_step,final_best_so_far
3nq9,bo,r1,100,0.3920
3nq9,bo,r2,100,0.9970
3nq9,bo,r3,100,0.9760
3nq9,bo,r4,100,0.8990
3nq9,bo,r5,100,0.4380
3nq9,random,r1,100,0.7090
3nq9,random,r2,100,0.2330
3nq9,random,r3,100,0.3550
3nq9,random,r4,100,0.6770
3nq9,random,r5,100,0.5490
4jsz,bo,r1,100,0.9080
4jsz,bo,r2,100,0.8210
4jsz,bo,r3,100,0.9380
4jsz,bo,r4,100,0.8060
4jsz,bo,r5,100,0.6300
4jsz,random,r1,100,0.7710
4jsz,random,r2,100,0.4190
4jsz,random,r3,100,0.6640
4jsz,random,r4,100,0.5710
4jsz,random,r5,100,0.4160
