ligand,method,step,n_runs,mean_best_so_far,ci95,ci_lo,ci_hi
3nq9,bo,1,5,0.04340,0.08506,-0.04166,0.12846
3nq9,bo,2,5,0.04360,0.08497,-0.04137,0.12857
3nq9,bo,3,5,0.19360,0.28477,-0.09117,0.47837
3nq9,bo,4,5,0.19360,0.28477,-0.09117,0.47837
3nq9,bo,5,5,0.19360,0.28477,-0.09117,0.47837
3nq9,bo,6,5,0.31080,0.29603,0.01477,0.60683
3nq9,bo,7,5,0.31080,0.29603,0.01477,0.60683
3nq9,bo,8,5,0.31180,0.29503,0.01677,0.60683
3nq9,bo,9,5,0.31180,0.29503,0.01677,0.60683
3nq9,bo,10,5,0.31180,0.29503,0.01677,0.60683
3nq9,bo,11,5,0.39820,0.24136,0.15684,0.63956
3nq9,bo,12,5,0.39820,0.24136,0.15684,0.63956
3nq9,bo,13,5,0.39820,0.24136,0.15684,0.63956
3nq9,bo,14,5,0.39820,0.24136,0.15684,0.63956
3nq9,bo,15,5,0.39820,0.24136,0.15684,0.63956
3nq9,bo,16,5,0.42060,0.21341,0.20719,0.63401
3nq9,bo,17,5,0.42060,0.21341,0.20719,0.63401
3nq9,bo,18,5,0.42060,0.21341,0.20719,0.63401
3nq9,bo,19,5,0.42060,0.21341,0.20719,0.63401
3nq9,bo,20,5,0.46220,0.17935,0.28285,0.64155
3nq9,bo,21,5,0.46220,0.17935,0.28285,0.64155
3nq9,bo,22,5,0.46220,0.17935,0.28285,0.64155
3nq9,bo,23,5,0.46220,0.17935,0.28285,0.64155
3nq9,bo,24,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,25,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,26,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,27,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,28,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,29,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,30,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,31,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,32,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,33,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,34,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,35,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,36,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,37,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,38,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,39,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,40,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,41,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,42,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,43,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,44,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,45,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,46,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,47,5,0.61820,0.22844,0.38976,0.84664
3nq9,bo,48,5,0.63020,0.21726,0.41294,0.84746
3nq9,bo,49,5,0.63020,0.21726,0.41294,0.84746
3nq9,bo,50,5,0.63020,0.21726,0.41294,0.84746
3nq9,bo,51,5,0.63020,0.21726,0.41294,0.84746
3nq9,bo,52,5,0.63020,0.21726,0.41294,0.84746
3nq9,bo,53,5,0.63020,0.21726,0.41294,0.84746
