ligand,repeat,case_name,setting,chain_strength,annealing_time,run_tag,n_reads,n_report_rows,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time_us,tts_0p99_sec,embedding_cached
3nq9,1,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r1_20260408_023341,1000,956,956,938,0.956,0.9811715481171548,0.938,989260.0,0.001638378920378537,True
3nq9,2,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r2_20260408_023341,1000,962,962,943,0.962,0.9802494802494802,0.943,989260.0,0.0015902901802289805,True
3nq9,3,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r3_20260408_023341,1000,961,961,947,0.961,0.9854318418314256,0.947,989260.0,0.0015508995658652814,True
3nq9,4,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r4_20260408_023341,1000,945,945,930,0.945,0.9841269841269841,0.93,989260.0,0.0017131497465156461,True
3nq9,5,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r5_20260408_023341,1000,964,964,953,0.964,0.9885892116182573,0.953,989260.0,0.00148995919000801,True
3nq9,6,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r6_20260408_023341,1000,961,961,950,0.961,0.9885535900104059,0.95,989260.0,0.0015207335776991533,True
3nq9,7,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r7_20260408_023341,1000,959,959,939,0.959,0.9791449426485923,0.939,989260.0,0.001628853706156138,True
3nq9,8,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r8_20260408_023341,1000,944,944,934,0.944,0.989406779661017,0.934,989260.0,0.0016760640735139984,True
3nq9,9,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r9_20260408_023341,1000,960,960,949,0.96,0.9885416666666667,0.949,989260.0,0.0015308529433548,True
3nq9,10,3nq9_Kdist7.500_Kmono19.000,default_linear,1.0,800.0,atsweep_3nq9_at800_cs1p0_r10_20260408_023341,1000,964,964,953,0.964,0.9885892116182573,0.953,989260.0,0.00148995919000801,True
4jsz,1,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r1_20260407_205920,1000,1000,1000,988,1.0,0.988,0.988,992550.0,0.0010334655447919,True
4jsz,2,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r2_20260407_205920,1000,1000,1000,984,1.0,0.984,0.984,992550.0,0.0011053633766334,True
4jsz,3,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r3_20260407_205920,1000,1000,1000,987,1.0,0.987,0.987,992550.0,0.0010525134557479,True
4jsz,4,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r4_20260407_205920,1000,1000,1000,991,1.0,0.991,0.991,992550.0,0.0009703496182511,True
4jsz,5,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r5_20260407_205920,1000,1000,1000,974,1.0,0.974,0.974,992550.0,0.0012524079626412,True
4jsz,6,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r6_20260407_205920,1000,1000,1000,987,1.0,0.987,0.987,992550.0,0.0010525134557479,True
4jsz,7,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r7_20260407_205920,1000,1000,1000,981,1.0,0.981,0.981,992550.0,0.0011532921731013,True
4jsz,8,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r8_20260407_205920,1000,1000,1000,983,1.0,0.983,0.983,992550.0,0.0011218099460266,True
4jsz,9,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r9_20260407_205920,1000,1000,1000,980,1.0,0.98,0.98,992550.0,0.0011684138006755,True
4jsz,10,4jsz_Kdist0.500_Kmono1.000,default_linear,0.75,800.0,atsweep_4jsz_at800_cs0p75_r10_20260407_205920,1000,1000,1000,986,1.0,0.986,0.986,992550.0,0.0010707859216837,True
