case_name,ligand,Kdist,Kmono,run_tag,run_idx,backend,sampler,solver,time_limit_sec,label,problem_id,problem_data_id,num_reads,n_pos,qubits,estimated_terms,n_samples,physical_qubits,max_chain_length,embedding_reused,embedding_source,embedding_path,embedding_hash,edge_cutoff,grid_length,preproc_dir,qubo_path,mRMSD,avg_RMSD,n_poses,success_rate,validity_rate,strict_success_rate,t_run_sec,tts_99_success_sec,tts_99_strict_sec,qpu_access_sec,qpu_sampling_sec,run_time_sec,charge_time_sec,load_sec,sample_sec,sample_cpu_sec,io_sec,sample_elapsed_sec,cpu_sec,eval_elapsed_sec,report_path,result_path,samples_meta_path,samples_path
3nq9_Kdist1.5_Kmono18.0,3nq9,1.5,18.0,bqm_hybrid_r1_20260125_215233,1,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,2209ea76-e8e6-4af0-a263-41fa21d0ccca,697d0f4d-0e5f-46ce-b765-a20d33f485f4,30,30,130,8385,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/QUBOs/3nq9_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/3nq9,./qa_sweeps/1.penalty_test/3nq9_Kdist1.5_Kmono18.0/QUBOs/3nq9_ligand.npy,5.7583729237472765,5.7584,1,0.0,1.0,0.0,1.949806,,,1.949806,29.99529,29.99529,29.99529,0.009,3.328,0.11,0.003,36.633,0.202,0.239,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/3nq9_ligand_report.csv,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/result.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/3nq9_ligand_samples.json
3nq9_Kdist1.5_Kmono18.0,3nq9,1.5,18.0,bqm_hybrid_r2_20260125_215349,2,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,f17ed7a5-4209-4184-a1af-e377ec16a653,c91fe06f-294a-46f1-a57e-05b6288b28e4,30,30,130,8385,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/QUBOs/3nq9_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/3nq9,./qa_sweeps/1.penalty_test/3nq9_Kdist1.5_Kmono18.0/QUBOs/3nq9_ligand.npy,5.806779654694594,5.8068,1,0.0,1.0,0.0,1.915657,,,1.915657,29.996375,29.996375,29.996375,0.002,3.518,0.116,0.002,35.693,0.213,0.153,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/3nq9_ligand_report.csv,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/result.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/3nq9_ligand_samples.json
3nq9_Kdist1.5_Kmono18.0,3nq9,1.5,18.0,bqm_hybrid_r3_20260125_215502,3,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,cc8fb758-5880-43be-bc52-38392daa93ba,449ee0a0-eac2-48e3-b171-7c2fd533d9b2,30,30,130,8385,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/QUBOs/3nq9_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/3nq9,./qa_sweeps/1.penalty_test/3nq9_Kdist1.5_Kmono18.0/QUBOs/3nq9_ligand.npy,2.4128575915388044,2.4129,1,0.0,1.0,0.0,1.912426,,,1.912426,29.994369,29.994369,29.994369,0.003,3.472,0.123,0.003,35.546,0.224,0.159,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/3nq9_ligand_report.csv,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/result.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/3nq9_ligand_samples.json
3nq9_Kdist1.5_Kmono18.0,3nq9,1.5,18.0,bqm_hybrid_r4_20260125_215617,4,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,b8fe90c3-20fd-4eb7-a8d2-73496b1fa8fd,d77a7d49-9ce0-465b-9c1a-8a3182d463d8,30,30,130,8385,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/QUBOs/3nq9_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/3nq9,./qa_sweeps/1.penalty_test/3nq9_Kdist1.5_Kmono18.0/QUBOs/3nq9_ligand.npy,7.100736885255959,7.1007,1,0.0,1.0,0.0,1.954564,,,1.954564,29.999076,29.999076,29.999076,0.003,3.414,0.122,0.003,35.546,0.22,0.16,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/3nq9_ligand_report.csv,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/result.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/3nq9_ligand_samples.json
3nq9_Kdist1.5_Kmono18.0,3nq9,1.5,18.0,bqm_hybrid_r5_20260125_215730,5,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,157f9963-ef40-45cd-be35-2d77c2636601,8ee3b2a7-2c4e-4871-aeea-d8fcba38c521,30,30,130,8385,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/QUBOs/3nq9_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/3nq9,./qa_sweeps/1.penalty_test/3nq9_Kdist1.5_Kmono18.0/QUBOs/3nq9_ligand.npy,5.257720573749538,5.2577,1,0.0,1.0,0.0,1.916915,,,1.916915,29.99516,29.99516,29.99516,0.002,3.44,0.114,0.003,35.598,0.212,0.154,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/3nq9_ligand_report.csv,./benchmarks/bqm_hybrid_eval/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/result.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/3nq9_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/3nq9_ligand_samples.json
4jsz_Kdist1.5_Kmono18.0,4jsz,1.5,18.0,bqm_hybrid_r1_20260125_215233,1,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,9670a2a2-26dd-4a16-b413-33dfddad656c,ef4470b3-73a4-4ff1-80b0-362c4fdae3df,30,30,144,10296,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/QUBOs/4jsz_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/4jsz,./qa_sweeps/1.penalty_test/4jsz_Kdist1.5_Kmono18.0/QUBOs/4jsz_ligand.npy,2.397291264669662,2.3973,1,0.0,1.0,0.0,1.91148,,,1.91148,29.998409,29.998409,29.998409,0.004,3.441,0.102,0.003,35.576,0.201,0.003,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/4jsz_ligand_report.csv,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/result.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r1_20260125_215233/4jsz_ligand_samples.json
4jsz_Kdist1.5_Kmono18.0,4jsz,1.5,18.0,bqm_hybrid_r2_20260125_215349,2,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,d1a3bc4a-a310-4957-b37d-9ed39fd81d97,d823b593-f2cc-41df-898d-07657657c2b6,30,30,144,10296,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/QUBOs/4jsz_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/4jsz,./qa_sweeps/1.penalty_test/4jsz_Kdist1.5_Kmono18.0/QUBOs/4jsz_ligand.npy,2.397291264669662,2.3973,1,0.0,1.0,0.0,1.949366,,,1.949366,29.998409,29.998409,29.998409,0.003,3.431,0.117,0.002,35.628,0.217,0.002,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/4jsz_ligand_report.csv,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/result.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r2_20260125_215349/4jsz_ligand_samples.json
4jsz_Kdist1.5_Kmono18.0,4jsz,1.5,18.0,bqm_hybrid_r3_20260125_215502,3,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,95c19e28-e240-4ce0-a07c-80c4b66eb3e8,00d65f64-353a-41aa-9ee7-ed3a2d02b9a1,30,30,144,10296,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/QUBOs/4jsz_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/4jsz,./qa_sweeps/1.penalty_test/4jsz_Kdist1.5_Kmono18.0/QUBOs/4jsz_ligand.npy,2.5176948062364306,2.5177,1,0.0,1.0,0.0,1.908539,,,1.908539,29.990237,29.990237,29.990237,0.004,3.392,0.117,0.002,37.865,0.219,0.002,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/4jsz_ligand_report.csv,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/result.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r3_20260125_215502/4jsz_ligand_samples.json
4jsz_Kdist1.5_Kmono18.0,4jsz,1.5,18.0,bqm_hybrid_r4_20260125_215617,4,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,506ad28d-642b-42d0-896b-a49e294025a7,f84fe288-871a-4ece-81f1-9e83693e8582,30,30,144,10296,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/QUBOs/4jsz_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/4jsz,./qa_sweeps/1.penalty_test/4jsz_Kdist1.5_Kmono18.0/QUBOs/4jsz_ligand.npy,2.4206947750095735,2.4207,1,0.0,1.0,0.0,1.912671,,,1.912671,29.992337,29.992337,29.992337,0.004,3.459,0.122,0.002,35.641,0.227,0.002,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/4jsz_ligand_report.csv,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/result.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r4_20260125_215617/4jsz_ligand_samples.json
4jsz_Kdist1.5_Kmono18.0,4jsz,1.5,18.0,bqm_hybrid_r5_20260125_215730,5,dwave_hybrid,DWaveHybridSamplerAdapter,,30,QDock FAM hybrid,fa8a9fd9-70ad-4c56-81a5-5f54c8f90dc4,aaa60dc8-6544-4edd-a25b-2d890dcb34d9,30,30,144,10296,1,,,False,,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/QUBOs/4jsz_ligand_embedding.json,,1.87,1.0,./qa_sweeps/1.penalty_test/_preproc/4jsz,./qa_sweeps/1.penalty_test/4jsz_Kdist1.5_Kmono18.0/QUBOs/4jsz_ligand.npy,2.5176948062364306,2.5177,1,0.0,1.0,0.0,1.946446,,,1.946446,29.99179,29.99179,29.99179,0.004,3.529,0.121,0.003,35.686,0.219,0.002,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/4jsz_ligand_report.csv,./benchmarks/bqm_hybrid_eval/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/result.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/D_qpu_fam_samples.json,./benchmarks/bqm_hybrid/D_try_fam/4jsz_Kdist1.5_Kmono18.0/bqm_hybrid_r5_20260125_215730/4jsz_ligand_samples.json
