case_name,ligand,run_tag,run_idx,Kdist,Kmono,edge_cutoff,grid_length,max_constraints,num_vars,mono_constraints,dist_constraints,constraint_limit_hit,sampler,time_limit_sec,label,problem_id,problem_data_id,n_samples,unique_samples,unique_sample_ratio,avg_selected_vars,energy_min,energy_avg,mRMSD,avg_RMSD,n_poses,feasible_rate,success_rate,validity_rate,strict_success_rate,t_run_sec,tts_99_success_sec,tts_99_strict_sec,qpu_access_sec,run_time_sec,charge_time_sec,eval_elapsed_sec,work_root,eval_root,prep_summary_path,report_path,result_path,samples_path,sampler_meta_path,spec_path,case_dir
3nq9,3nq9,cqm_opt_r1_20260125_231756,1,1.5,18.0,1.87,1.0,,130,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,6f4baf3f-c20c-47f1-a0bb-deb6d8d478c6,c0b30b45-0e40-4c9d-a8be-520bf31ed737,144,104,0.7222222222222222,7.902777777777778,-4.0,-3.951388888888889,1.3311,4.688011111111114,144,1.0,0.020833333333333332,1.0,0.020833333333333332,0.069467,15.195038214664624,15.195038214664624,0.069467,30.247099,30.0,0.021,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r1_20260125_231756/3nq9_ligand_report.csv,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r1_20260125_231756/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r1_20260125_231756/3nq9_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r1_20260125_231756/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9
3nq9,3nq9,cqm_opt_r2_20260125_231908,2,1.5,18.0,1.87,1.0,,130,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,527fd3e1-c328-46f1-8779-afce5ad622a0,c650238d-016b-49bc-b357-d9ba211acc7a,132,103,0.7803030303030303,7.893939393939394,-4.0,-3.946969696969697,1.3311,4.688022916666665,144,1.0,0.020833333333333332,1.0,0.020833333333333332,0.069467,15.195038214664624,15.195038214664624,0.069467,30.229966,30.0,0.006,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r2_20260125_231908/3nq9_ligand_report.csv,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r2_20260125_231908/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r2_20260125_231908/3nq9_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r2_20260125_231908/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9
3nq9,3nq9,cqm_opt_r3_20260125_232020,3,1.5,18.0,1.87,1.0,,130,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,fb812dd8-a8cc-43b1-a9d6-c25d4892cc39,551a3453-bf63-43ed-8bea-6e86474b3936,148,110,0.7432432432432432,7.905405405405405,-4.0,-3.9527027027027026,1.3311,4.688022916666665,144,1.0,0.020833333333333332,1.0,0.020833333333333332,0.069467,15.195038214664624,15.195038214664624,0.069467,30.251992,30.0,0.006,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r3_20260125_232020/3nq9_ligand_report.csv,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r3_20260125_232020/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r3_20260125_232020/3nq9_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r3_20260125_232020/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9
3nq9,3nq9,cqm_opt_r4_20260125_232131,4,1.5,18.0,1.87,1.0,,130,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,83d27a37-9ba0-492c-aad5-43fa5b9acc8d,e9dfa80a-159d-421c-b6dd-8eb3a234e0b6,132,103,0.7803030303030303,7.924242424242424,-4.0,-3.962121212121212,1.3311,4.688022916666665,144,1.0,0.020833333333333332,1.0,0.020833333333333332,0.069458,15.193069577125478,15.193069577125478,0.069458,30.20793,30.0,0.007,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r4_20260125_232131/3nq9_ligand_report.csv,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r4_20260125_232131/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r4_20260125_232131/3nq9_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r4_20260125_232131/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9
3nq9,3nq9,cqm_opt_r5_20260125_232243,5,1.5,18.0,1.87,1.0,,130,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,52b08375-deb0-418a-a425-e21a4081fe3b,bd52dc95-2a57-4990-926d-96f81930f90c,140,103,0.7357142857142858,7.9,-4.0,-3.95,1.3311,4.688022916666665,144,1.0,0.020833333333333332,0.9928571428571429,0.02068452380952381,0.069467,15.195038214664624,15.305513871181338,0.069467,30.240721,30.0,0.007,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r5_20260125_232243/3nq9_ligand_report.csv,./benchmarks/cqm_opt_eval/3nq9/cqm_opt_r5_20260125_232243/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r5_20260125_232243/3nq9_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/cqm_opt_r5_20260125_232243/3nq9_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9/CQM/3nq9_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/3nq9
4jsz,4jsz,cqm_opt_r1_20260125_231756,1,1.5,18.0,1.87,1.0,,144,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,0b56bd09-9fe1-4f83-96ee-44207879fe9d,341d84a6-d321-472d-8346-806ca194914b,151,9,0.059602649006622516,9.920529801324504,-4.97,-4.8803973509933956,2.3265,2.4295821192053,151,1.0,0.0,1.0,0.0,0.069459,,,0.069459,30.237769,30.0,0.022,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r1_20260125_231756/4jsz_ligand_report.csv,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r1_20260125_231756/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r1_20260125_231756/4jsz_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r1_20260125_231756/4jsz_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/4jsz_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz
4jsz,4jsz,cqm_opt_r2_20260125_231908,2,1.5,18.0,1.87,1.0,,144,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,41bf5f21-91d8-4be2-96fa-466cb5d36808,b2a7d1c3-198f-488a-bac2-d4438d836da4,150,12,0.08,9.94,-4.97,-4.837333333333352,2.3264,2.4295397350993357,151,1.0,0.0,1.0,0.0,0.069453,,,0.069453,30.254688,30.0,0.007,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r2_20260125_231908/4jsz_ligand_report.csv,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r2_20260125_231908/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r2_20260125_231908/4jsz_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r2_20260125_231908/4jsz_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/4jsz_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz
4jsz,4jsz,cqm_opt_r3_20260125_232020,3,1.5,18.0,1.87,1.0,,144,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,0eeccc43-0147-42a9-a75f-d616f0d4de11,192bf30d-b3c2-4df8-a7fc-ae2888b30c78,136,10,0.07352941176470588,9.985294117647058,-4.97,-4.907352941176488,2.3264,2.4295397350993357,151,1.0,0.0,1.0,0.0,0.03472,,,0.03472,30.321281,30.0,0.007,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r3_20260125_232020/4jsz_ligand_report.csv,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r3_20260125_232020/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r3_20260125_232020/4jsz_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r3_20260125_232020/4jsz_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/4jsz_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz
4jsz,4jsz,cqm_opt_r4_20260125_232131,4,1.5,18.0,1.87,1.0,,144,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,73bb9c65-11b8-4253-8060-e238d5c8736b,8ade3a95-9066-439b-9a7e-1a7260133fc1,146,11,0.07534246575342465,9.938356164383562,-4.97,-4.876917808219196,2.3264,2.4295397350993357,151,1.0,0.0,1.0,0.0,0.069459,,,0.069459,30.241013,30.0,0.006,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r4_20260125_232131/4jsz_ligand_report.csv,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r4_20260125_232131/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r4_20260125_232131/4jsz_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r4_20260125_232131/4jsz_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/4jsz_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz
4jsz,4jsz,cqm_opt_r5_20260125_232243,5,1.5,18.0,1.87,1.0,,144,0,0,False,LeapHybridCQMSampler,30,QDock FAM CQM hybrid,e263f5d8-4cf0-4fac-bcfb-886ea1a1e2c5,691c978c-85f2-47f5-8532-cae8bc1a9cd5,138,12,0.08695652173913043,9.86231884057971,-4.97,-4.851521739130452,2.3264,2.4295397350993357,151,1.0,0.0,1.0,0.0,0.069472,,,0.069472,30.213808,30.0,0.006,./benchmarks/cqm_opt/workdir_fam_cqm,./benchmarks/cqm_opt_eval,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/cqm_prep_summary.json,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r5_20260125_232243/4jsz_ligand_report.csv,./benchmarks/cqm_opt_eval/4jsz/cqm_opt_r5_20260125_232243/result.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r5_20260125_232243/4jsz_ligand_samples.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/cqm_opt_r5_20260125_232243/4jsz_ligand_sampler_meta.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz/CQM/4jsz_ligand_cqm_spec.json,./benchmarks/cqm_opt/workdir_fam_cqm/4jsz
