run_tag,run_idx,ligand,n_poses,success_rate,feasible_rate,strict_success_rate,mRMSD,avg_RMSD,time_limit_sec,tts_99_success_sec,tts_99_strict_sec,n_samples,energy_min,energy_avg
nl_opt_r1_20260126_084349,1,3nq9,32,0.5625,1.0,0.5625,0.5925,2.24879375,30,167.12070454112802,167.12070454112802,32,-4.0,-2.9371875
nl_opt_r1_20260126_084349,1,4jsz,32,0.71875,1.0,0.71875,1.0681,1.847171875,30,108.91121175379463,108.91121175379463,32,-3.9699999999999998,-2.677187500000001
nl_opt_r2_20260126_084506,2,3nq9,32,0.5,1.0,0.5,0.6136,2.414109375,30,199.31568569324173,199.31568569324173,32,-4.0,-2.9928125
nl_opt_r2_20260126_084506,2,4jsz,32,0.65625,1.0,0.65625,0.5495,1.964834375,30,129.3780192456877,129.3780192456877,32,-3.9699999999999998,-2.3165625000000003
nl_opt_r3_20260126_084623,3,3nq9,32,0.5,1.0,0.5,0.3743,2.30156875,30,199.31568569324173,199.31568569324173,32,-4.0,-2.85375
nl_opt_r3_20260126_084623,3,4jsz,31,0.5161290322580645,1.0,0.5161290322580645,0.6228,1.9103193548387096,30,190.31280253772255,190.31280253772255,32,-3.66,-2.3953125
nl_opt_r4_20260126_084739,4,3nq9,32,0.5625,1.0,0.5625,0.4071,2.162125,30,167.12070454112802,167.12070454112802,32,-4.0,-3.05
nl_opt_r4_20260126_084739,4,4jsz,32,0.53125,1.0,0.53125,1.0822,1.959778125,30,182.3382772964047,182.3382772964047,32,-3.62,-2.420937500000001
nl_opt_r5_20260126_084855,5,3nq9,32,0.59375,1.0,0.59375,0.2727,2.017984375,30,153.3716353720337,153.3716353720337,32,-4.0,-3.05875
nl_opt_r5_20260126_084855,5,4jsz,32,0.65625,1.0,0.65625,0.2567,1.715071875,30,129.3780192456877,129.3780192456877,32,-3.9799999999999995,-2.382187500000001
