ligand,Kdist,Kmono,runs,mRMSD_mean,avg_RMSD_mean,valid_rate_mean,success_rate_mean,cpu_sec_mean,sample_elapsed_sec_mean,tts_99_sec_mean,ttt_99_sec_mean
3nq9,6.0,16.0,10,0.6753976907567608,4.7615498,1.0,0.03300000000000001,2.4160999999999997,2.4301,331.5738433870553,331.5738433870553
4jsz,6.0,10.0,10,0.7810799596579571,3.190346399999999,1.0,0.04499999999999999,2.6403999999999996,2.6467,264.0845191536217,264.0845191536217
4jsz,3.5,4.0,10,0.9919187261976694,2.9616718000000004,1.0,0.06899999999999999,2.6298,2.6334999999999997,169.38956397966922,169.38956397966922
3nq9,3.0,8.0,10,0.7624192388077091,4.676495300000005,1.0,0.04699999999999999,2.3655,2.3708,226.28677073553087,226.28677073553087
3nq9,4.0,17.0,10,0.7624192388077091,4.7151599000000015,1.0,0.040999999999999995,2.3601,2.3707,259.6170735821605,259.6170735821605
4jsz,5.0,0.1,10,0.9919187261976694,2.9075664,0.5259999999999999,0.06400000000000002,1.9497,1.9563,135.75335836547097,135.75335836547097
4jsz,4.0,11.0,10,0.6446152989897252,3.058582399999995,1.0,0.05600000000000001,2.5807,2.5848999999999998,206.22498098607065,206.22498098607065
4jsz,1.5,7.0,10,0.7125017852609876,2.8262039000000034,1.0,0.09699999999999999,2.4745,2.4781000000000004,111.6846929463929,111.6846929463929
4jsz,2.0,12.0,10,0.43266667696150984,2.8704509000000047,1.0,0.09899999999999999,2.4785000000000004,2.4844999999999997,109.48596609918886,109.48596609918886
3nq9,2.0,14.0,10,0.7624192388077091,4.600945099999998,1.0,0.053000000000000005,2.2618,2.2695,191.27255745887547,191.27255745887547
4jsz,7.5,2.0,10,0.9919187261976694,2.911873799999999,1.0,0.07999999999999999,2.4285000000000005,2.4366,134.12616929528107,134.12616929528107
4jsz,8.0,20.0,10,0.9391931172098806,3.4091432999999958,1.0,0.03200000000000001,2.6227,2.6294,371.3651463280633,371.3651463280633
4jsz,5.5,1.0,10,0.9919187261976694,2.879871500000001,1.0,0.09999999999999999,2.3097,2.3133,100.95396280254063,100.95396280254063
3nq9,1.0,1.0,10,0.7624192388077091,4.648794900000007,1.0,0.04299999999999999,2.3564,2.3613000000000004,246.89777018238775,246.89777018238775
3nq9,8.5,6.0,10,0.587958577933317,4.7902698999999975,1.0,0.031000000000000007,2.4957000000000003,2.4998,364.9691891195234,364.9691891195234
3nq9,3.0,2.0,10,0.7373797201281233,4.620852500000004,1.0,0.051000000000000004,2.4477,2.4621000000000004,215.33587328303733,215.33587328303733
3nq9,8.5,16.0,10,0.7473726179221493,4.729096900000007,1.0,0.03300000000000001,2.4579999999999997,2.4669,337.3239961282158,337.3239961282158
4jsz,8.5,10.0,10,1.3421948458631618,3.3663946000000005,1.0,0.030000000000000006,2.6967000000000003,2.7141,407.7178451471094,407.7178451471094
3nq9,5.0,7.0,10,0.6264840641524302,4.632039299999994,1.0,0.049999999999999996,2.4751000000000003,2.489,222.2172871412525,222.2172871412525
3nq9,1.5,0.1,10,0.7624192388077091,4.6825597999999955,1.0,0.06000000000000001,2.44,2.4654999999999996,181.6006777912341,181.6006777912341
4jsz,6.5,20.0,10,0.9919187261976694,3.308680399999999,1.0,0.028000000000000004,2.5972999999999997,2.6021000000000005,421.17006478159726,421.17006478159726
4jsz,7.5,8.0,10,0.6446152989897252,3.3755739000000053,1.0,0.027000000000000003,2.7009,2.7157999999999998,454.42310206519494,454.42310206519494
3nq9,7.0,4.0,10,0.7497257413112247,4.677134400000005,1.0,0.04299999999999999,2.4957000000000003,2.5010000000000003,261.49328002214617,261.49328002214617
4jsz,2.0,18.0,10,0.9919187261976694,2.905819399999999,1.0,0.06600000000000002,2.4402999999999997,2.4501,164.58974231082703,164.58974231082703
4jsz,7.5,17.0,10,0.9286778927545978,3.339086199999996,1.0,0.027000000000000003,2.6244,2.6309,441.5520711836416,441.5520711836416
3nq9,7.5,11.0,10,0.6545624615994584,4.664833500000001,1.0,0.03899999999999999,2.4577,2.4625999999999997,284.51179581374174,284.51179581374174
3nq9,8.0,9.0,10,0.7536977357427944,4.709540899999994,1.0,0.039999999999999994,2.4691,2.4732000000000003,278.54164990839166,278.54164990839166
4jsz,10.0,19.0,10,1.3226348210709629,3.4799755000000028,1.0,0.024999999999999998,2.6656000000000004,2.675,484.85799621306177,484.85799621306177
4jsz,1.0,2.0,10,0.9919187261976694,2.7575455,1.0,0.10400000000000001,2.5064,2.5119,105.10779618310589,105.10779618310589
4jsz,8.5,5.0,10,1.0510860807342337,3.1189786000000024,1.0,0.052000000000000005,2.606,2.6206000000000005,224.7359353219142,224.7359353219142
4jsz,5.5,16.0,10,0.5432922760462519,3.1761712000000015,1.0,0.049999999999999996,2.5976,2.6016,233.21547617393944,233.21547617393944
3nq9,5.5,10.0,10,0.4352484275626384,4.636008400000003,1.0,0.054000000000000006,2.4285,2.4493,201.46117548075415,201.46117548075415
4jsz,3.0,1.0,10,0.8682059700502103,2.884595200000003,1.0,0.09099999999999998,2.3920000000000003,2.3956,115.45483438101155,115.45483438101155
3nq9,3.5,13.0,10,0.664849113521406,4.643108699999996,1.0,0.047999999999999994,2.3632999999999997,2.3785,221.25116229017235,221.25116229017235
4jsz,3.5,15.0,10,0.8044218657590132,3.0283007,1.0,0.06800000000000002,2.5357,2.5416,165.81825355382728,165.81825355382728
4jsz,5.0,4.0,10,0.8044218657590132,2.991300399999997,1.0,0.06400000000000002,2.6361999999999997,2.6501999999999994,183.5528559896674,183.5528559896674
3nq9,5.5,8.0,10,0.8226019338392094,4.665566900000003,1.0,0.04299999999999999,2.4398000000000004,2.4447,255.63621613095808,255.63621613095808
3nq9,1.5,12.0,10,0.7624192388077091,4.625602399999997,1.0,0.05500000000000001,2.2385,2.252,182.22749532410472,182.22749532410472
4jsz,1.5,14.0,10,0.9919187261976694,2.858523400000004,1.0,0.08699999999999998,2.411,2.4193000000000007,121.98570321447589,121.98570321447589
4jsz,3.5,0.1,10,0.9919187261976694,2.9252438000000045,0.5090000000000001,0.049999999999999996,1.9686,1.9724,176.74314228365307,176.74314228365307
4jsz,7.0,7.0,10,0.8688882158557514,3.3329347999999994,1.0,0.03200000000000001,2.6809000000000003,2.6955999999999993,379.60606275628356,379.60606275628356
3nq9,3.5,7.0,10,0.7126838412832457,4.672786700000002,1.0,0.041999999999999996,2.4001,2.4076,257.597592562783,257.597592562783
3nq9,7.0,0.1,10,0.7479297007123636,4.695919199999998,1.0,0.03899999999999999,2.5209,2.5309,291.82804494725207,291.82804494725207
4jsz,1.0,8.0,10,0.8682059700502103,2.793284700000002,1.0,0.10500000000000001,2.3941,2.3971999999999998,99.3877474722158,99.3877474722158
4jsz,10.0,13.0,10,1.0019621795823397,3.4478985000000018,1.0,0.03500000000000001,2.6723999999999997,2.6757999999999997,345.43451429979893,345.43451429979893
3nq9,8.0,3.0,10,0.6990991322298025,4.680933099999996,1.0,0.04299999999999999,2.5079,2.5143,262.7715658803303,262.7715658803303
3nq9,1.5,4.0,10,0.7624192388077091,4.666342600000005,1.0,0.053000000000000005,2.3119000000000005,2.3174,195.50934016675836,195.50934016675836
4jsz,9.0,17.0,10,1.014265393076789,3.4276817000000017,1.0,0.030000000000000006,2.6787,2.702700000000001,404.9963999686883,404.9963999686883
3nq9,9.0,11.0,10,0.6718809578103002,4.6889501000000005,1.0,0.03500000000000001,2.4784,2.4873000000000003,320.35806774458223,320.35806774458223
3nq9,7.5,1.0,10,0.6990991322298025,4.749451499999998,1.0,0.04299999999999999,2.525,2.5325,264.56326163237526,264.56326163237526
3nq9,0.1,16.0,10,0.819807069676312,4.735267999999996,0.049999999999999996,0.0010000000000000002,1.8780000000000001,1.8885999999999996,8644.184633411267,8644.184633411267
4jsz,0.1,10.0,10,0.9777820373499051,2.2095610000000003,0.0,0.0,2.0272000000000006,2.0362,,
3nq9,1.5,18.0,10,0.7624192388077091,4.742869999999997,1.0,0.03799999999999999,2.2152000000000003,2.229,263.3235642944231,263.3235642944231
3nq9,5.5,2.0,10,0.7624192388077091,4.685585600000008,1.0,0.049999999999999996,2.5003,2.5061999999999998,224.47977174226244,224.47977174226244
3nq9,3.5,19.0,10,0.6264840641524302,4.699996900000003,1.0,0.04499999999999999,2.3378,2.347,233.81941708731134,233.81941708731134
3nq9,5.0,20.0,10,0.638272240047949,4.699517200000004,1.0,0.04699999999999999,2.3741,2.3795,227.10945779041376,227.10945779041376
4jsz,10.0,17.0,10,0.9423208457974483,3.5367197,1.0,0.014000000000000002,2.6623,2.6673999999999993,869.5943219598614,869.5943219598614
3nq9,8.0,7.0,10,0.6264840641524302,4.784288699999996,1.0,0.028000000000000004,2.4719,2.4757,400.8355920123321,400.8355920123321
4jsz,7.5,19.0,10,1.075917372786899,3.3509589999999987,1.0,0.03200000000000001,2.6414,2.6674,374.01300091926123,374.01300091926123
4jsz,1.0,20.0,10,0.9919187261976694,2.7688613000000015,1.0,0.101,2.3243,2.3298999999999994,100.5313367112765,100.5313367112765
3nq9,9.0,15.0,10,0.7519396011248755,4.729464800000001,1.0,0.040999999999999995,2.4709000000000008,2.4829000000000003,271.8053587196138,271.8053587196138
4jsz,9.0,13.0,10,0.8682059700502103,3.436080599999996,1.0,0.029000000000000005,2.6708,2.6770000000000005,417.9403871246812,417.9403871246812
3nq9,3.5,3.0,10,0.8226019338392094,4.696800000000004,1.0,0.047999999999999994,2.4379,2.4421,228.23518323835788,228.23518323835788
4jsz,5.5,18.0,10,1.1426422538909937,3.160094700000003,1.0,0.040999999999999995,2.5865,2.5919,284.5216562095921,284.5216562095921
3nq9,5.5,6.0,10,0.7479297007123636,4.671300599999994,1.0,0.040999999999999995,2.4566999999999997,2.4596,270.2433221767272,270.2433221767272
4jsz,0.1,14.0,10,0.985878631733742,2.254160499999997,0.0,0.0,2.0233,2.0382,,
3nq9,7.5,5.0,10,0.5009340275685262,4.760011800000003,1.0,0.04299999999999999,2.493,2.4959,261.21038069287584,261.21038069287584
4jsz,7.0,9.0,10,0.7387117379366969,3.272968299999998,1.0,0.03799999999999999,2.6702000000000004,2.6767000000000003,317.4099771483246,317.4099771483246
3nq9,0.1,12.0,10,0.2414303933693845,4.6623953,0.06200000000000001,0.0020000000000000005,1.8782000000000003,1.8834,4320.389163324577,4320.389163324577
3nq9,5.5,14.0,10,0.7707284977714783,4.692387400000002,1.0,0.054000000000000006,2.419,2.4455999999999998,200.67308358572964,200.67308358572964
4jsz,5.5,12.0,10,0.5739941579572335,3.1730957000000055,1.0,0.03400000000000001,2.6252000000000004,2.6297000000000006,349.4937217214435,349.4937217214435
3nq9,3.5,9.0,10,0.755828817852577,4.742687799999998,1.0,0.04299999999999999,2.3984000000000005,2.4133999999999998,251.2984264154808,251.2984264154808
4jsz,3.0,5.0,10,0.7387117379366969,2.967119499999997,1.0,0.05600000000000001,2.6031999999999997,2.6087,208.02296683184377,208.02296683184377
3nq9,7.5,15.0,10,0.805146706577067,4.692693500000003,1.0,0.041999999999999996,2.4483,2.4537,262.77079532997027,262.77079532997027
4jsz,9.0,19.0,10,0.9406182039195878,3.4238230999999972,1.0,0.03300000000000001,2.6505,2.6686000000000005,363.74176230180467,363.74176230180467
4jsz,7.5,13.0,10,0.9919187261976694,3.3321938999999965,1.0,0.041999999999999996,2.6555,2.6663,285.009127557381,285.009127557381
