mode,variant,annealing_time,chain_strength,repeat,ligand,case_name,run_tag,status,sample_log,eval_log,hash_ok,cached_ok,embedding_sha,qubo_sha
anneal_schedule,linear,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,linear,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,cubic_smoothstep,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,cubic_smoothstep,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,fourier,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,fourier,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,lowpass_linear,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,lowpass_linear,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,bangbang_monotone,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,bangbang_monotone,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,pause_quench,800,1.0,1,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r1_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,pause_quench,800,0.75,1,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r1_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r1_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r1_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,linear,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,linear,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,cubic_smoothstep,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,cubic_smoothstep,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,fourier,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,fourier,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,lowpass_linear,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,lowpass_linear,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,bangbang_monotone,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,bangbang_monotone,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,pause_quench,800,1.0,2,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r2_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,pause_quench,800,0.75,2,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r2_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r2_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_pause_quench_4jsz_at800_cs0p75_r2_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,linear,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,linear,800,0.75,3,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_linear_4jsz_at800_cs0p75_r3_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,cubic_smoothstep,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,cubic_smoothstep,800,0.75,3,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_cubic_smoothstep_4jsz_at800_cs0p75_r3_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,fourier,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,fourier,800,0.75,3,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_fourier_4jsz_at800_cs0p75_r3_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,lowpass_linear,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,lowpass_linear,800,0.75,3,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_lowpass_linear_4jsz_at800_cs0p75_r3_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,bangbang_monotone,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
anneal_schedule,bangbang_monotone,800,0.75,3,4jsz,4jsz_Kdist0.500_Kmono1.000,asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_bangbang_monotone_4jsz_at800_cs0p75_r3_20260409_180305_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
anneal_schedule,pause_quench,800,1.0,3,3nq9,3nq9_Kdist7.500_Kmono19.000,asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r3_20260409_180305,ok,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r3_20260409_180305_sample.log,./as_jjin/logs/asuite_anneal_schedule_pause_quench_3nq9_at800_cs1p0_r3_20260409_180305_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
