ligand,annealing_time,repeat,chain_strength,run_tag,case_name,n_reads,n_report_rows,n_valid,n_success_valid,validity_rate,success_rate,quality,qpu_access_time_us,tts_0p99_sec,embedding_cached
3nq9,0.5,1,1.0,atsweep_3nq9_at0p5_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,987,987,656,0.987,0.6646403242147924,0.656,189760.0,0.0008189166334281041,True
3nq9,1.0,1,1.0,atsweep_3nq9_at1_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,985,985,706,0.985,0.716751269035533,0.706,190260.0,0.0007157304416339967,True
3nq9,2.0,1,1.0,atsweep_3nq9_at2_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,975,975,783,0.975,0.803076923076923,0.783,191260.0,0.0005764834773609348,True
3nq9,5.0,1,1.0,atsweep_3nq9_at5_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,957,957,819,0.957,0.8557993730407524,0.819,194260.0,0.0005233851359355998,True
3nq9,10.0,1,1.0,atsweep_3nq9_at10_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,947,947,843,0.947,0.8901795142555439,0.843,199260.0,0.0004956097845176162,True
3nq9,20.0,1,1.0,atsweep_3nq9_at20_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,965,965,898,0.965,0.9305699481865285,0.898,209260.0,0.00042215056738893574,True
3nq9,50.0,1,1.0,atsweep_3nq9_at50_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,943,943,885,0.943,0.9384941675503712,0.885,239260.0,0.0005094420310713909,True
3nq9,100.0,1,1.0,atsweep_3nq9_at100_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,938,938,894,0.938,0.9530916844349681,0.894,289260.0,0.0005935400443926458,True
3nq9,200.0,1,1.0,atsweep_3nq9_at200_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,935,935,893,0.935,0.9550802139037433,0.893,389260.0,0.0008020883868428795,True
3nq9,500.0,1,1.0,atsweep_3nq9_at500_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,966,966,945,0.966,0.9782608695652174,0.945,689260.0,0.0010943785076090765,True
3nq9,800.0,1,1.0,atsweep_3nq9_at800_cs1p0_r1_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,956,956,938,0.956,0.9811715481171548,0.938,989260.0,0.001638378920378537,True
3nq9,0.5,2,1.0,atsweep_3nq9_at0p5_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,993,993,659,0.993,0.6636455186304129,0.659,189760.0,0.000812249452828807,True
3nq9,1.0,2,1.0,atsweep_3nq9_at1_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,985,985,735,0.985,0.7461928934010152,0.735,190260.0,0.000659761209854454,True
3nq9,2.0,2,1.0,atsweep_3nq9_at2_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,955,955,760,0.955,0.7958115183246073,0.76,191260.0,0.0006171780221641411,True
3nq9,5.0,2,1.0,atsweep_3nq9_at5_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,964,964,834,0.964,0.8651452282157677,0.834,194260.0,0.0004981715979379901,True
3nq9,10.0,2,1.0,atsweep_3nq9_at10_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,951,951,841,0.951,0.8843322818086226,0.841,199260.0,0.0004990214938318256,True
3nq9,20.0,2,1.0,atsweep_3nq9_at20_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,956,956,894,0.956,0.9351464435146444,0.894,209260.0,0.0004293859838539899,True
3nq9,50.0,2,1.0,atsweep_3nq9_at50_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,949,949,898,0.949,0.946259220231823,0.898,239260.0,0.000482671053968636,True
3nq9,100.0,2,1.0,atsweep_3nq9_at100_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,954,954,905,0.954,0.9486373165618449,0.905,289260.0,0.0005659134877739817,True
3nq9,200.0,2,1.0,atsweep_3nq9_at200_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,962,962,936,0.962,0.972972972972973,0.936,389260.0,0.0006521250967769342,True
3nq9,500.0,2,1.0,atsweep_3nq9_at500_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,958,958,935,0.958,0.975991649269311,0.935,689260.0,0.0011612631712386817,True
3nq9,800.0,2,1.0,atsweep_3nq9_at800_cs1p0_r2_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,962,962,943,0.962,0.9802494802494802,0.943,989260.0,0.0015902901802289805,True
3nq9,0.5,3,1.0,atsweep_3nq9_at0p5_cs1p0_r3_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,986,986,667,0.986,0.6764705882352942,0.667,189760.0,0.0007947134693535783,True
3nq9,1.0,3,1.0,atsweep_3nq9_at1_cs1p0_r3_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,978,978,753,0.978,0.7699386503067485,0.753,190260.0,0.0006265735073163558,True
3nq9,2.0,3,1.0,atsweep_3nq9_at2_cs1p0_r3_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,961,961,783,0.961,0.8147762747138397,0.783,191260.0,0.0005764834773609348,True
3nq9,5.0,3,1.0,atsweep_3nq9_at5_cs1p0_r3_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,948,948,825,0.948,0.870253164556962,0.825,194260.0,0.0005132622575358307,True
3nq9,10.0,3,1.0,atsweep_3nq9_at10_cs1p0_r3_20260408_023341,3nq9_Kdist7.500_Kmono19.000,1000,956,956,871,0.956,0.9110878661087866,0.871,199260.0,0.000448072171656666,True
