chain_strength,repeat,run_tag,status,sample_log,eval_log,hash_ok_3nq9,hash_ok_4jsz,cached_ok_3nq9,cached_ok_4jsz,chain_break_fraction_flag
0.5,1,csopt1full_cbftrue_cs0p5_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs0p5_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs0p5_r1_20260408_021003_eval.log,true,true,true,true,true
0.75,1,csopt1full_cbftrue_cs0p75_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs0p75_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs0p75_r1_20260408_021003_eval.log,true,true,true,true,true
1.0,1,csopt1full_cbftrue_cs1p0_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p0_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p0_r1_20260408_021003_eval.log,true,true,true,true,true
1.25,1,csopt1full_cbftrue_cs1p25_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p25_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p25_r1_20260408_021003_eval.log,true,true,true,true,true
1.5,1,csopt1full_cbftrue_cs1p5_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p5_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs1p5_r1_20260408_021003_eval.log,true,true,true,true,true
2.0,1,csopt1full_cbftrue_cs2p0_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs2p0_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs2p0_r1_20260408_021003_eval.log,true,true,true,true,true
2.5,1,csopt1full_cbftrue_cs2p5_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs2p5_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs2p5_r1_20260408_021003_eval.log,true,true,true,true,true
3.0,1,csopt1full_cbftrue_cs3p0_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs3p0_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs3p0_r1_20260408_021003_eval.log,true,true,true,true,true
3.5,1,csopt1full_cbftrue_cs3p5_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs3p5_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs3p5_r1_20260408_021003_eval.log,true,true,true,true,true
4.0,1,csopt1full_cbftrue_cs4p0_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs4p0_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs4p0_r1_20260408_021003_eval.log,true,true,true,true,true
4.5,1,csopt1full_cbftrue_cs4p5_r1_20260408_021003,ok,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs4p5_r1_20260408_021003_sample.log,./chain_strength_sweep_qpu_fixedemb_v113_opt1_r1to10_fullcs_chainbreak_true/logs/csopt1full_cbftrue_cs4p5_r1_20260408_021003_eval.log,true,true,true,true,true
