ligand,case_name,chain_strength,repeat,run_tag,quality,validity_rate,success_rate,tts_0p99_sec,t_shot_sec,chain_break_fraction_mean,n_reads,n_report_rows,n_valid,n_success_valid,embedding_cached
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,10,csopt1full_cbftrue_cs0p5_r10_20260408_021003,0.696,0.712,0.9775280898876404,0.0008093200941476494,0.00020926039999999999,0.9022461538461389,1000,712,712,696,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,1,csopt1full_cbftrue_cs0p5_r1_20260408_021003,0.71,0.729,0.9739368998628258,0.0007784956126732164,0.00020926039999999999,0.9025769230769083,1000,729,729,710,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,2,csopt1full_cbftrue_cs0p5_r2_20260408_021003,0.709,0.725,0.9779310344827586,0.0007806665300055146,0.00020926039999999999,0.902199999999985,1000,725,725,709,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,3,csopt1full_cbftrue_cs0p5_r3_20260408_021003,0.699,0.715,0.9776223776223776,0.0008026350368042411,0.00020926039999999999,0.9032307692307545,1000,715,715,699,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,4,csopt1full_cbftrue_cs0p5_r4_20260408_021003,0.74,0.752,0.9840425531914894,0.0007153875785801354,0.00020926039999999999,0.902723076923062,1000,752,752,740,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,5,csopt1full_cbftrue_cs0p5_r5_20260408_021003,0.737,0.753,0.9787516600265604,0.0007215325363716838,0.00020926039999999999,0.9019769230769081,1000,753,753,737,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,6,csopt1full_cbftrue_cs0p5_r6_20260408_021003,0.688,0.7,0.9828571428571429,0.0008273689847748839,0.00020926039999999999,0.9025384615384466,1000,700,700,688,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,7,csopt1full_cbftrue_cs0p5_r7_20260408_021003,0.742,0.766,0.9686684073107049,0.0007113100221773321,0.00020926039999999999,0.9023923076922928,1000,766,766,742,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,8,csopt1full_cbftrue_cs0p5_r8_20260408_021003,0.75,0.767,0.9778357235984355,0.0006951480019073673,0.00020926039999999999,0.9033615384615237,1000,767,767,750,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.5,9,csopt1full_cbftrue_cs0p5_r9_20260408_021003,0.686,0.703,0.9758179231863442,0.0008319329461516542,0.00020926039999999999,0.9022538461538312,1000,703,703,686,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,10,csopt1full_cbftrue_cs0p75_r10_20260408_021003,0.849,0.874,0.971395881006865,0.0005097542616132173,0.00020926,0.8951538461538302,1000,874,874,849,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,1,csopt1full_cbftrue_cs0p75_r1_20260408_021003,0.828,0.86,0.9627906976744186,0.0005474631440594447,0.00020926,0.895323076923061,1000,860,860,828,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,2,csopt1full_cbftrue_cs0p75_r2_20260408_021003,0.848,0.875,0.9691428571428572,0.0005115403287602041,0.00020926,0.8958923076922918,1000,875,875,848,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,3,csopt1full_cbftrue_cs0p75_r3_20260408_021003,0.847,0.874,0.9691075514874142,0.000513327120331503,0.00020926,0.8951461538461378,1000,874,874,847,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,4,csopt1full_cbftrue_cs0p75_r4_20260408_021003,0.902,0.926,0.9740820734341252,0.00041487987537673724,0.00020926,0.8955230769230609,1000,926,926,902,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,5,csopt1full_cbftrue_cs0p75_r5_20260408_021003,0.886,0.909,0.9746974697469747,0.0004437728267323718,0.00020926,0.8955999999999841,1000,909,909,886,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,6,csopt1full_cbftrue_cs0p75_r6_20260408_021003,0.865,0.893,0.9686450167973124,0.00048124209591964213,0.00020926,0.8959615384615226,1000,893,893,865,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,7,csopt1full_cbftrue_cs0p75_r7_20260408_021003,0.854,0.886,0.963882618510158,0.0005008333994761297,0.00020926,0.8955461538461378,1000,886,886,854,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,8,csopt1full_cbftrue_cs0p75_r8_20260408_021003,0.862,0.891,0.9674523007856342,0.0004865827506145662,0.00020926,0.8953846153845993,1000,891,891,862,True
3nq9,3nq9_Kdist7.500_Kmono19.000,0.75,9,csopt1full_cbftrue_cs0p75_r9_20260408_021003,0.89,0.917,0.9705561613958561,0.0004365917029008689,0.00020926,0.8957076923076763,1000,917,917,890,True
3nq9,3nq9_Kdist7.500_Kmono19.000,1.0,10,csopt1full_cbftrue_cs1p0_r10_20260408_021003,0.876,0.955,0.9172774869109948,0.0004616479273220819,0.00020926,0.8899153846153677,1000,955,955,876,True
