ligand,case,run_tag,top_frac,top_n,top_success_any,top_success_rate,top_valid_n,top_success_any_valid,top_success_rate_valid
3nq9,3nq9_Kdist0.1_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono10.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono11.0,penalty_qpu_20260116_174810,0.1,27,0,0.0,27,0,0.0
3nq9,3nq9_Kdist0.1_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono13.0,penalty_qpu_20260116_174810,0.1,62,0,0.0,62,0,0.0
3nq9,3nq9_Kdist0.1_Kmono14.0,penalty_qpu_20260116_174810,0.1,80,0,0.0,80,0,0.0
3nq9,3nq9_Kdist0.1_Kmono15.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono16.0,penalty_qpu_20260116_174810,0.1,20,0,0.0,20,0,0.0
3nq9,3nq9_Kdist0.1_Kmono17.0,penalty_qpu_20260116_174810,0.1,59,1,0.05084745762711865,59,1,0.05084745762711865
3nq9,3nq9_Kdist0.1_Kmono18.0,penalty_qpu_20260116_174810,0.1,88,0,0.0,88,0,0.0
3nq9,3nq9_Kdist0.1_Kmono19.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono2.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono20.0,penalty_qpu_20260116_174810,0.1,34,1,0.20588235294117646,34,1,0.20588235294117646
3nq9,3nq9_Kdist0.1_Kmono3.0,penalty_qpu_20260116_174810,0.1,100,1,0.1,100,1,0.1
3nq9,3nq9_Kdist0.1_Kmono4.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono5.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono6.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono7.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono8.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.1_Kmono9.0,penalty_qpu_20260116_174810,0.1,87,1,0.11494252873563218,87,1,0.11494252873563218
3nq9,3nq9_Kdist0.5_Kmono0.1,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.5_Kmono1.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.5_Kmono10.0,penalty_qpu_20260116_174810,0.1,99,0,0.0,99,0,0.0
3nq9,3nq9_Kdist0.5_Kmono11.0,penalty_qpu_20260116_174810,0.1,2,0,0.0,2,0,0.0
3nq9,3nq9_Kdist0.5_Kmono12.0,penalty_qpu_20260116_174810,0.1,100,1,0.87,100,1,0.87
3nq9,3nq9_Kdist0.5_Kmono13.0,penalty_qpu_20260116_174810,0.1,100,0,0.0,100,0,0.0
3nq9,3nq9_Kdist0.5_Kmono14.0,penalty_qpu_20260116_174810,0.1,100,1,1.0,100,1,1.0
