ligand,kdist,kmono,mean_quality,std_quality,min_quality,max_quality,q25_quality,q50_quality,q75_quality,n_runs,rank
3nq9,6.5,2.0,0.25460000000000005,0.344752432913823,0.0,0.869,0.0,0.0,0.404,5,1
3nq9,6.0,4.0,0.18080000000000002,0.21469084749937525,0.0,0.546,0.006,0.046,0.306,5,2
3nq9,7.0,19.0,0.1594,0.23701274227349042,0.0,0.611,0.0,0.0,0.186,5,3
3nq9,0.5,4.0,0.14679999999999999,0.18359237456931593,0.0,0.476,0.009,0.028,0.221,5,4
3nq9,5.0,18.0,0.1382,0.23842181108279503,0.0,0.611,0.0,0.0,0.08,5,5
3nq9,8.5,3.0,0.137,0.274,0.0,0.685,0.0,0.0,0.0,5,6
3nq9,2.0,12.0,0.13,0.24325788784744473,0.0,0.616,0.0,0.004,0.03,5,7
3nq9,8.5,13.0,0.12179999999999999,0.21061092089443034,0.0,0.54,0.001,0.002,0.066,5,8
3nq9,2.0,8.0,0.11420000000000001,0.20608580737158977,0.0,0.525,0.0,0.002,0.044,5,9
3nq9,2.5,20.0,0.08660000000000001,0.10902586849000562,0.0,0.271,0.0,0.009,0.153,5,10
4jsz,7.5,13.0,0.24840000000000004,0.2774639436034888,0.001,0.777,0.064,0.147,0.253,5,1
4jsz,3.5,5.0,0.2112,0.2701802361387672,0.0,0.722,0.0,0.093,0.241,5,2
4jsz,6.0,7.0,0.197,0.38950635424855395,0.0,0.976,0.0,0.003,0.006,5,3
4jsz,5.0,5.0,0.1906,0.37374515381473505,0.0,0.938,0.0,0.0,0.015,5,4
4jsz,10.0,1.0,0.1864,0.3728000000000001,0.0,0.932,0.0,0.0,0.0,5,5
4jsz,1.5,20.0,0.1842,0.2099784750873289,0.002,0.56,0.003,0.097,0.259,5,6
4jsz,9.0,9.0,0.17980000000000002,0.3360329745724369,0.0,0.851,0.001,0.002,0.045,5,7
4jsz,1.0,1.0,0.179,0.358,0.0,0.895,0.0,0.0,0.0,5,8
4jsz,1.5,19.0,0.17160000000000003,0.17597340708186565,0.004,0.467,0.027,0.084,0.276,5,9
4jsz,2.0,1.0,0.1658,0.3261118826415253,0.0,0.818,0.001,0.002,0.008,5,10
