ligand,case_name,run_tag,Kdist,Kmono,status,mRMSD,n_poses,n_reads,n_valid,n_success_valid,quality,validity_rate,success_rate,qpu_access_sec,qpu_sampling_sec,solver,physical_qubits,max_chain_length,report_csv,samples_json,result_json
3nq9,3nq9_Kdist0.5_Kmono1.0,psweep112_20260319_134243,0.5,1.0,ok,2.837417250656679,1000,1000,1000,0,0.0,1.0,0.0,0.21080279999999998,0.1762,Advantage2_system1.13,2287,28,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono1.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono2.0,psweep112_20260319_134243,0.5,2.0,ok,2.400036689719844,1000,1000,1000,0,0.0,1.0,0.0,0.2096672,0.17506,Advantage2_system1.13,2354,29,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono2.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono3.0,psweep112_20260319_134243,0.5,3.0,ok,1.803875622117768,1000,1000,1000,7,0.007,1.0,0.007,0.21326479999999998,0.17866,Advantage2_system1.13,1976,23,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono3.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono4.0,psweep112_20260319_134243,0.5,4.0,ok,2.430887291676688,1000,1000,1000,0,0.0,1.0,0.0,0.219028,0.18442,Advantage2_system1.13,2248,26,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono4.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono5.0,psweep112_20260319_134243,0.5,5.0,ok,1.4725900756570478,1000,1000,1000,2,0.002,1.0,0.002,0.21798920000000002,0.18338,Advantage2_system1.13,2404,28,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono5.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono6.0,psweep112_20260319_134243,0.5,6.0,ok,1.3988431479890857,1000,1000,1000,3,0.003,1.0,0.003,0.2073556,0.17274,Advantage2_system1.13,2202,26,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono6.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono7.0,psweep112_20260319_134243,0.5,7.0,ok,1.2351036678674954,1000,1000,1000,4,0.004,1.0,0.004,0.2055868,0.17098,Advantage2_system1.13,2191,26,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono7.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono8.0,psweep112_20260319_134243,0.5,8.0,ok,2.3191359857392833,1000,1000,1000,0,0.0,1.0,0.0,0.211266,0.17666,Advantage2_system1.13,2500,30,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono8.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono9.0,psweep112_20260319_134243,0.5,9.0,ok,1.2024967731742913,1000,1000,1000,5,0.005,1.0,0.005,0.2034832,0.16888,Advantage2_system1.13,2214,27,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono9.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono10.0,psweep112_20260319_134243,0.5,10.0,ok,1.0925531214020894,1000,1000,1000,32,0.032,1.0,0.032,0.2173436,0.18274,Advantage2_system1.13,1974,25,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono10.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono11.0,psweep112_20260319_134243,0.5,11.0,ok,1.8834176386152413,1000,1000,1000,1,0.001,1.0,0.001,0.2050924,0.17048,Advantage2_system1.13,2498,30,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono11.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono11.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono11.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono12.0,psweep112_20260319_134243,0.5,12.0,ok,3.0739237995787105,1000,1000,1000,0,0.0,1.0,0.0,0.2094464,0.17484,Advantage2_system1.13,2173,27,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono12.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono12.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono12.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono13.0,psweep112_20260319_134243,0.5,13.0,ok,1.7603384900690677,1000,1000,1000,1,0.001,1.0,0.001,0.205594,0.17098,Advantage2_system1.13,2104,25,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono13.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono13.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono13.0/psweep112_20260319_134243/result.json
3nq9,3nq9_Kdist0.5_Kmono14.0,psweep112_20260319_134243,0.5,14.0,ok,0.7750180963696852,1000,1000,1000,154,0.154,1.0,0.154,0.2119876,0.17738,Advantage2_system1.13,2709,32,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono14.0/psweep112_20260319_134243/3nq9_ligand_report.csv,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono14.0/psweep112_20260319_134243/3nq9_ligand_samples.json,./penalty_sweep_qpu_v113/samples/3nq9_Kdist0.5_Kmono14.0/psweep112_20260319_134243/result.json
