ligand,case_name,repeat,chain_strength,annealing_time,setting,run_tag,status,sample_log,eval_log,hash_ok,cached_ok,embedding_sha,qubo_sha
3nq9,3nq9_Kdist7.500_Kmono19.000,1,1.0,800,default_linear,finalopt_defaultas_3nq9_cs1p0_at800_r1_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r1_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r1_20260409_183529_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,4jsz_Kdist0.500_Kmono1.000,1,0.75,800,default_linear,finalopt_defaultas_4jsz_cs0p75_at800_r1_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r1_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r1_20260409_183529_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
3nq9,3nq9_Kdist7.500_Kmono19.000,2,1.0,800,default_linear,finalopt_defaultas_3nq9_cs1p0_at800_r2_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r2_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r2_20260409_183529_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,4jsz_Kdist0.500_Kmono1.000,2,0.75,800,default_linear,finalopt_defaultas_4jsz_cs0p75_at800_r2_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r2_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r2_20260409_183529_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
3nq9,3nq9_Kdist7.500_Kmono19.000,3,1.0,800,default_linear,finalopt_defaultas_3nq9_cs1p0_at800_r3_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r3_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r3_20260409_183529_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,4jsz_Kdist0.500_Kmono1.000,3,0.75,800,default_linear,finalopt_defaultas_4jsz_cs0p75_at800_r3_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r3_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r3_20260409_183529_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
3nq9,3nq9_Kdist7.500_Kmono19.000,4,1.0,800,default_linear,finalopt_defaultas_3nq9_cs1p0_at800_r4_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r4_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r4_20260409_183529_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,4jsz_Kdist0.500_Kmono1.000,4,0.75,800,default_linear,finalopt_defaultas_4jsz_cs0p75_at800_r4_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r4_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r4_20260409_183529_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
3nq9,3nq9_Kdist7.500_Kmono19.000,5,1.0,800,default_linear,finalopt_defaultas_3nq9_cs1p0_at800_r5_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r5_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_3nq9_cs1p0_at800_r5_20260409_183529_eval.log,true,true,1140c769647c59163eeb1b7013028f78bd4456540d53acee9c1cbc1243df9290,4970855b156ec58080ac62887dc95a555bd4632584f2a807666b106e0d0b9f43
4jsz,4jsz_Kdist0.500_Kmono1.000,5,0.75,800,default_linear,finalopt_defaultas_4jsz_cs0p75_at800_r5_20260409_183529,ok,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r5_20260409_183529_sample.log,./qpu_opt_final_default_as_at800_cs1p0_0p75_r1to10/logs/finalopt_defaultas_4jsz_cs0p75_at800_r5_20260409_183529_eval.log,true,true,ec859ffbd18b211df17732f99dbe11df31e65f5438fd5e904fa53a1b2cc48349,11fa05c7abd75d749dc28c825d2efc7575186397527a3f83a04d419ebcec6de6
