Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
1,3.007,0.0,True,False
2,3.007,0.0,True,False
3,3.007,0.0,True,False
4,3.007,0.0,True,False
5,3.007,0.0,True,False
6,3.007,0.0,True,False
7,3.007,0.0,True,False
8,3.007,0.0,True,False
9,3.007,0.0,True,False
10,3.007,0.0,True,False
11,1.8842,0.0,True,True
12,1.8842,0.0,True,True
13,1.8842,0.0,True,True
14,1.8842,0.0,True,True
15,1.8842,0.0,True,True
16,1.8842,0.0,True,True
17,1.8842,0.0,True,True
18,1.8842,0.0,True,True
19,1.8842,0.0,True,True
20,1.8842,0.0,True,True
21,1.8842,0.0,True,True
22,1.8842,0.0,True,True
23,1.8842,0.0,True,True
24,1.8842,0.0,True,True
25,1.8842,0.0,True,True
26,1.8842,0.0,True,True
27,1.8842,0.0,True,True
28,1.8842,0.0,True,True
29,1.8842,0.0,True,True
30,1.8842,0.0,True,True
31,1.8842,0.0,True,True
32,1.8842,0.0,True,True
33,1.8842,0.0,True,True
34,1.8842,0.0,True,True
35,1.8842,0.0,True,True
36,1.8842,0.0,True,True
37,1.8842,0.0,True,True
38,1.8842,0.0,True,True
39,1.8842,0.0,True,True
40,1.8842,0.0,True,True
41,1.8842,0.0,True,True
42,1.8842,0.0,True,True
43,1.8842,0.0,True,True
44,1.8842,0.0,True,True
45,1.8842,0.0,True,True
46,1.8842,0.0,True,True
47,1.8842,0.0,True,True
48,1.8842,0.0,True,True
49,1.8842,0.0,True,True
50,1.8842,0.0,True,True
51,1.8842,0.0,True,True
52,1.8842,0.0,True,True
53,1.8842,0.0,True,True
54,1.8842,0.0,True,True
55,1.8842,0.0,True,True
56,1.8842,0.0,True,True
57,1.8842,0.0,True,True
58,1.8842,0.0,True,True
59,1.8842,0.0,True,True
60,1.8842,0.0,True,True
61,1.8842,0.0,True,True
62,1.8842,0.0,True,True
63,1.8842,0.0,True,True
64,1.8842,0.0,True,True
65,1.8842,0.0,True,True
66,1.8842,0.0,True,True
67,1.8842,0.0,True,True
68,1.8842,0.0,True,True
69,1.8842,0.0,True,True
70,1.8842,0.0,True,True
71,1.8842,0.0,True,True
72,1.8842,0.0,True,True
73,1.8842,0.0,True,True
74,1.8842,0.0,True,True
75,1.8842,0.0,True,True
76,1.8842,0.0,True,True
77,1.8842,0.0,True,True
78,1.8842,0.0,True,True
79,1.8842,0.0,True,True
80,1.8842,0.0,True,True
81,1.8842,0.0,True,True
82,1.8842,0.0,True,True
83,1.8842,0.0,True,True
84,1.8842,0.0,True,True
85,1.8842,0.0,True,True
86,1.8842,0.0,True,True
87,1.8842,0.0,True,True
88,1.8842,0.0,True,True
89,1.8842,0.0,True,True
90,1.8842,0.0,True,True
91,1.8842,0.0,True,True
92,1.8842,0.0,True,True
93,1.8842,0.0,True,True
94,1.8842,0.0,True,True
95,1.8842,0.0,True,True
96,1.8842,0.0,True,True
97,1.8842,0.0,True,True
98,1.8842,0.0,True,True
99,1.8842,0.0,True,True
100,1.8842,0.0,True,True
101,1.8842,0.0,True,True
102,1.8842,0.0,True,True
103,1.8842,0.0,True,True
104,1.8842,0.0,True,True
105,1.8842,0.0,True,True
106,1.8842,0.0,True,True
107,1.8842,0.0,True,True
108,1.8842,0.0,True,True
109,1.8842,0.0,True,True
110,1.8842,0.0,True,True
111,1.8842,0.0,True,True
112,1.8842,0.0,True,True
113,1.8842,0.0,True,True
114,1.8842,0.0,True,True
