Pose_ID,RMSD(A),Shape_Diff(A),Feasible,Success(<=2.0A)
1,3.0005,0.0,True,False
2,2.0935,0.0,True,False
3,1.4788,0.0,True,True
4,2.2387,0.0,True,False
5,2.8626,0.0,True,False
6,2.8626,0.0,True,False
7,1.533,0.0,True,True
8,1.533,0.0,True,True
9,1.533,0.0,True,True
10,1.533,0.0,True,True
11,1.533,0.0,True,True
12,1.533,0.0,True,True
13,1.533,0.0,True,True
14,1.533,0.0,True,True
15,1.533,0.0,True,True
16,1.533,0.0,True,True
17,1.533,0.0,True,True
18,1.533,0.0,True,True
19,1.533,0.0,True,True
20,1.533,0.0,True,True
21,1.533,0.0,True,True
22,1.533,0.0,True,True
23,1.533,0.0,True,True
24,1.533,0.0,True,True
25,1.533,0.0,True,True
26,1.533,0.0,True,True
27,1.533,0.0,True,True
28,1.533,0.0,True,True
29,1.533,0.0,True,True
30,1.533,0.0,True,True
31,1.533,0.0,True,True
32,1.533,0.0,True,True
33,1.533,0.0,True,True
34,1.533,0.0,True,True
35,1.533,0.0,True,True
36,1.533,0.0,True,True
37,1.533,0.0,True,True
38,1.533,0.0,True,True
39,1.533,0.0,True,True
40,1.533,0.0,True,True
41,1.533,0.0,True,True
42,1.533,0.0,True,True
43,1.533,0.0,True,True
44,1.533,0.0,True,True
45,1.533,0.0,True,True
46,1.533,0.0,True,True
47,1.533,0.0,True,True
48,1.533,0.0,True,True
49,1.533,0.0,True,True
50,1.533,0.0,True,True
51,1.533,0.0,True,True
52,1.533,0.0,True,True
53,1.533,0.0,True,True
54,1.533,0.0,True,True
55,1.3233,0.0,True,True
56,1.5541,0.0,True,True
57,2.8451,0.0,True,False
58,1.658,0.0,True,True
59,1.5431,0.0,True,True
60,1.4149,0.0,True,True
61,1.3841,0.0,True,True
62,1.5187,0.0,True,True
63,1.5187,0.0,True,True
64,1.5187,0.0,True,True
65,1.5187,0.0,True,True
66,1.5187,0.0,True,True
67,1.5187,0.0,True,True
68,1.427,0.0,True,True
69,1.493,0.0,True,True
70,3.3222,0.0,True,False
71,2.2187,0.0,True,False
72,1.8299,0.0,True,True
73,1.8299,0.0,True,True
74,1.8299,0.0,True,True
75,1.8299,0.0,True,True
76,1.8299,0.0,True,True
77,1.8299,0.0,True,True
78,1.8299,0.0,True,True
79,1.8299,0.0,True,True
80,1.8299,0.0,True,True
81,1.8299,0.0,True,True
82,1.6116,0.0,True,True
83,1.6116,0.0,True,True
84,1.6116,0.0,True,True
85,1.6116,0.0,True,True
86,1.6116,0.0,True,True
87,1.6116,0.0,True,True
88,1.6116,0.0,True,True
89,1.6116,0.0,True,True
90,1.6116,0.0,True,True
91,1.6116,0.0,True,True
92,1.6116,0.0,True,True
93,1.6116,0.0,True,True
94,1.6116,0.0,True,True
95,1.6116,0.0,True,True
96,1.6116,0.0,True,True
97,1.6116,0.0,True,True
98,1.6116,0.0,True,True
99,1.6116,0.0,True,True
100,1.6116,0.0,True,True
101,1.6116,0.0,True,True
102,1.6116,0.0,True,True
103,1.6116,0.0,True,True
104,1.6116,0.0,True,True
105,1.6116,0.0,True,True
106,1.6116,0.0,True,True
107,1.6116,0.0,True,True
108,1.6116,0.0,True,True
109,1.6116,0.0,True,True
110,1.6116,0.0,True,True
111,1.6116,0.0,True,True
112,1.6116,0.0,True,True
113,1.6116,0.0,True,True
114,1.6116,0.0,True,True
115,1.6116,0.0,True,True
116,1.6116,0.0,True,True
117,1.6116,0.0,True,True
118,1.6116,0.0,True,True
119,1.6116,0.0,True,True
120,1.6116,0.0,True,True
121,1.6116,0.0,True,True
122,1.6116,0.0,True,True
123,1.6116,0.0,True,True
124,1.6116,0.0,True,True
125,1.6116,0.0,True,True
126,1.6116,0.0,True,True
127,1.6116,0.0,True,True
128,1.6116,0.0,True,True
129,1.4654,0.0,True,True
130,1.4654,0.0,True,True
131,2.4673,0.0,True,False
132,2.4673,0.0,True,False
133,2.4673,0.0,True,False
134,2.4673,0.0,True,False
135,2.2444,0.0,True,False
136,1.8328,0.0,True,True
137,1.7662,0.0,True,True
138,1.7662,0.0,True,True
139,1.7662,0.0,True,True
140,1.7662,0.0,True,True
141,1.7662,0.0,True,True
142,1.7662,0.0,True,True
143,2.0258,0.0,True,False
144,1.7662,0.0,True,True
145,1.7662,0.0,True,True
146,1.7662,0.0,True,True
147,1.7662,0.0,True,True
148,1.7662,0.0,True,True
149,1.7662,0.0,True,True
150,1.7662,0.0,True,True
151,1.7662,0.0,True,True
152,1.7662,0.0,True,True
153,1.7662,0.0,True,True
154,1.7662,0.0,True,True
155,1.7662,0.0,True,True
156,1.7662,0.0,True,True
157,1.7662,0.0,True,True
158,1.7662,0.0,True,True
159,1.7662,0.0,True,True
160,1.7662,0.0,True,True
161,1.7662,0.0,True,True
162,1.7662,0.0,True,True
163,2.0017,0.0,True,False
164,1.4905,0.0,True,True
165,3.1849,0.0,True,False
166,3.1849,0.0,True,False
167,2.1108,0.0,True,False
168,2.1108,0.0,True,False
169,2.4567,0.0,True,False
170,1.2445,0.0,True,True
171,1.2445,0.0,True,True
172,1.3497,0.0,True,True
173,1.8438,0.0,True,True
174,1.8438,0.0,True,True
175,1.8438,0.0,True,True
176,1.8438,0.0,True,True
177,1.8438,0.0,True,True
178,1.8438,0.0,True,True
179,1.8438,0.0,True,True
180,1.8438,0.0,True,True
181,1.8438,0.0,True,True
182,1.8438,0.0,True,True
183,1.527,0.0,True,True
184,1.527,0.0,True,True
185,1.527,0.0,True,True
186,1.527,0.0,True,True
187,1.527,0.0,True,True
188,1.527,0.0,True,True
189,1.527,0.0,True,True
190,1.527,0.0,True,True
191,1.527,0.0,True,True
192,1.527,0.0,True,True
193,1.527,0.0,True,True
194,1.527,0.0,True,True
195,1.527,0.0,True,True
196,1.527,0.0,True,True
197,1.527,0.0,True,True
198,1.527,0.0,True,True
199,1.527,0.0,True,True
200,1.527,0.0,True,True
201,1.527,0.0,True,True
202,1.527,0.0,True,True
203,3.7549,0.0,True,False
204,2.2578,0.0,True,False
205,2.2578,0.0,True,False
206,2.2578,0.0,True,False
207,1.3799,0.0,True,True
208,1.3799,0.0,True,True
209,1.3799,0.0,True,True
210,1.3799,0.0,True,True
211,1.3799,0.0,True,True
212,1.3799,0.0,True,True
213,1.3799,0.0,True,True
214,1.3799,0.0,True,True
215,1.3799,0.0,True,True
216,1.3799,0.0,True,True
217,1.3799,0.0,True,True
218,1.3799,0.0,True,True
219,1.3799,0.0,True,True
220,1.3799,0.0,True,True
221,1.3799,0.0,True,True
222,1.3799,0.0,True,True
223,1.3799,0.0,True,True
224,1.3799,0.0,True,True
225,1.3799,0.0,True,True
226,1.3799,0.0,True,True
227,1.3799,0.0,True,True
228,1.3799,0.0,True,True
229,1.3799,0.0,True,True
230,1.3799,0.0,True,True
