run,n_modes,best_rmsd_A,mean_rmsd_A,n_success_2A,quality
1,20,1.9558222056209507,5.037161948522966,1,0.05
2,20,2.605582027110258,4.963053129249732,0,0.0
3,20,2.095510486731097,4.946206822573768,0,0.0
4,20,1.9632577517992895,4.765605822796211,1,0.05
5,20,2.4549686759712435,5.538008250898036,0,0.0
6,20,1.5910470766133857,4.963610745750836,1,0.05
7,20,1.9510637355043017,5.1351745512830504,1,0.05
8,20,2.044940292526899,4.892109841758104,0,0.0
9,20,2.0852713492493007,4.648551798212252,0,0.0
10,20,1.732129094496135,4.259463824034137,1,0.05
