run,mode,affinity_kcalmol,rmsd_A
1,1,-4.454,2.670036104624805
1,2,-4.357,5.970594819613872
1,3,-4.256,1.9558222056209507
1,4,-4.103,3.9277661972169375
1,5,-4.065,5.319720359191825
1,6,-3.811,2.877400163341901
1,7,-3.782,4.34810266668118
1,8,-3.748,7.870321435621293
1,9,-3.734,5.814922579020291
1,10,-3.638,8.025780167684633
1,11,-3.598,7.723105301625766
1,12,-3.503,5.627281812740499
1,13,-3.452,4.684667127982521
1,14,-3.445,4.782485284870201
1,15,-3.431,4.589305949705249
1,16,-3.368,3.354628354974661
1,17,-3.344,5.2181572801133544
1,18,-3.335,4.131050326490831
1,19,-3.304,5.045876217268909
1,20,-3.268,6.80621461606964
2,1,-4.579,5.980414659536578
2,2,-4.442,2.605582027110258
2,3,-4.431,3.5906631420950643
2,4,-4.225,5.211482073268602
2,5,-4.136,7.77030154498524
2,6,-4.053,4.295369448603927
2,7,-3.888,4.712853000041482
2,8,-3.856,4.935666044213283
2,9,-3.781,7.382731831781512
2,10,-3.662,4.4012561275163256
2,11,-3.629,7.17658590835503
2,12,-3.627,5.822534190539375
2,13,-3.623,4.4536254781918965
2,14,-3.613,2.742204551086589
2,15,-3.61,3.021172156630602
2,16,-3.566,4.938841999902406
2,17,-3.54,6.011980705225192
2,18,-3.521,4.962148345223065
2,19,-3.432,5.006440721710384
2,20,-3.347,4.239208628977819
3,1,-4.406,2.5683929021861123
3,2,-4.356,6.0381433239034665
3,3,-4.219,2.095510486731097
3,4,-4.102,3.522860740932006
3,5,-4.036,5.50182204365063
3,6,-3.885,7.853103361092352
3,7,-3.822,4.121246122230508
3,8,-3.577,4.853003616318455
3,9,-3.553,7.180338466952655
3,10,-3.399,4.788387045759773
3,11,-3.393,5.005949200701101
3,12,-3.349,7.5992762352739875
3,13,-3.305,4.7885366867133845
3,14,-3.269,4.5551284065325754
3,15,-3.246,6.958378338377413
3,16,-3.208,2.457028652661584
3,17,-3.184,3.668504436415472
3,18,-3.161,3.997357927431568
3,19,-3.152,4.873592802030141
3,20,-3.137,6.4975756555810875
4,1,-4.567,5.955667720751386
4,2,-4.535,3.5868233438517714
4,3,-4.496,2.3966744042526926
4,4,-4.212,1.9632577517992895
4,5,-4.197,5.604838766637271
4,6,-3.942,4.191202178373169
4,7,-3.939,7.884278045579062
4,8,-3.829,7.702489396292604
4,9,-3.781,2.4624409231492232
4,10,-3.701,4.029512650433053
4,11,-3.669,6.544953185470466
4,12,-3.621,4.452677711220519
4,13,-3.588,7.342317876529183
4,14,-3.454,3.2804943225069
4,15,-3.407,2.448757827960944
4,16,-3.359,5.4492221555007285
4,17,-3.295,4.983334445930757
4,18,-3.293,4.718510517101769
4,19,-3.265,3.928219864009651
4,20,-3.222,6.386443368573779
5,1,-4.444,2.4549686759712435
5,2,-4.42,5.981964008584471
5,3,-4.249,3.572565632707117
5,4,-4.249,8.169888426410731
5,5,-4.027,5.369192648806709
5,6,-3.863,3.771485953838354
5,7,-3.774,5.780327049570812
5,8,-3.774,4.328325680907111
5,9,-3.736,7.496595620680096
5,10,-3.708,5.379629522560081
5,11,-3.699,4.6102720093287335
5,12,-3.642,4.61659573712059
5,13,-3.623,8.11855091749753
5,14,-3.523,7.540211077947354
5,15,-3.488,4.31896636939905
5,16,-3.459,7.8984232413817885
5,17,-3.458,7.282165055805863
5,18,-3.451,4.529702628208611
5,19,-3.388,3.887152595409653
5,20,-3.284,5.653182165824838
6,1,-4.425,2.7431221627918796
6,2,-4.341,3.658482485949605
6,3,-4.322,5.993359775618346
6,4,-4.052,5.194969114441394
6,5,-3.711,3.98601940537173
6,6,-3.674,7.303342399203258
6,7,-3.625,4.880824325869556
6,8,-3.587,7.5597445393346465
6,9,-3.508,6.82229909927731
6,10,-3.454,4.357518732030879
6,11,-3.449,5.498463439907553
6,12,-3.432,1.5910470766133857
6,13,-3.427,2.750272313790037
6,14,-3.424,4.843828289689881
6,15,-3.308,5.579355446644352
6,16,-3.306,6.778428586331791
6,17,-3.283,4.534707818592064
6,18,-3.249,4.215524166696237
6,19,-3.227,4.752376416068071
6,20,-3.22,6.228529320794757
7,1,-4.404,2.7758774828871684
7,2,-4.39,5.993444285216974
7,3,-4.137,3.7017304061749283
7,4,-3.951,1.9510637355043017
7,5,-3.848,7.676399657391478
7,6,-3.84,3.305901647054855
7,7,-3.826,5.729584871524289
7,8,-3.748,4.187218444265835
7,9,-3.737,7.879186569691062
7,10,-3.699,5.035575895565471
7,11,-3.611,7.610771445786557
7,12,-3.579,4.490057649963973
7,13,-3.564,6.201299549288036
7,14,-3.529,2.237328496220437
7,15,-3.473,5.27046653532683
7,16,-3.44,2.7830781519748955
7,17,-3.372,4.514054164495593
7,18,-3.339,8.64752561719247
