run,n_modes,best_rmsd_A,mean_rmsd_A,n_success_2A,quality
1,20,1.611106762446239,3.596058570825592,1,0.05
2,20,1.6982160934345194,3.591147229907821,1,0.05
3,20,1.501811073337788,3.506831942575353,3,0.15
4,20,1.7579088144724684,3.3922337619280256,2,0.1
5,20,1.4968934497819142,3.7078799571079757,2,0.1
6,20,2.4014481464316493,4.208982527010919,0,0.0
7,20,0.2810473269753686,3.5484657922787277,2,0.1
8,20,1.5245409145050854,3.4655166084077584,2,0.1
9,20,1.1972249997389797,3.3940695791457345,3,0.15
10,20,1.92487446343911,3.631416165187807,1,0.05
