run,mode,affinity_kcalmol,rmsd_A
1,1,-4.878,4.008595439801826
1,2,-4.844,3.8692586886896048
1,3,-4.843,4.277220195407292
1,4,-4.478,2.2500870872035157
1,5,-4.433,3.273066711816305
1,6,-4.119,2.1519462586226448
1,7,-3.964,1.611106762446239
1,8,-3.884,4.351030130900038
1,9,-3.852,3.969486704852405
1,10,-3.647,4.670764958762109
1,11,-3.418,4.518299890445521
1,12,-3.194,3.4411774438409886
1,13,-3.181,4.551736954174747
1,14,-3.123,3.2674586913991734
1,15,-3.104,2.5741293479543725
1,16,-3.051,3.2047255264686867
1,17,-2.922,2.3344802633562787
1,18,-2.692,4.754062652090314
1,19,-2.649,4.9185436970713186
1,20,-2.583,3.9239940112084786
2,1,-4.87,4.008942005068169
2,2,-4.85,4.282730379092292
2,3,-4.831,3.868240362231901
2,4,-4.809,4.079392699900317
2,5,-4.623,3.4536479119910295
2,6,-4.555,4.329696571354624
2,7,-4.344,2.3396406561692333
2,8,-3.93,1.6982160934345194
2,9,-3.825,4.154331895744488
2,10,-3.662,4.080328234345859
2,11,-3.567,3.74027583207442
2,12,-3.43,4.6995767894566844
2,13,-3.402,3.1354286150381427
2,14,-3.384,4.796785100460515
2,15,-3.333,3.0988019136433995
2,16,-3.166,3.7897602298826243
2,17,-3.099,2.1992461208332275
2,18,-3.046,3.3058084790259703
2,19,-2.786,3.480039468166991
2,20,-2.778,3.2820552402420047
3,1,-4.85,4.28517137346921
3,2,-4.819,4.089771362802571
3,3,-4.809,4.000768913596485
3,4,-4.579,3.3664963686301523
3,5,-4.572,4.145153808967769
3,6,-4.446,1.84024300025839
3,7,-4.41,3.8995632063091366
3,8,-4.354,4.194221870621534
3,9,-4.339,2.4238843619281845
3,10,-3.882,3.8041161785623743
3,11,-3.72,4.373871134361414
3,12,-3.668,1.501811073337788
3,13,-3.48,1.600029780972842
3,14,-3.098,3.3198867299954675
3,15,-3.085,4.416883663851698
3,16,-3.051,3.3889681615500606
3,17,-2.795,4.024103018065019
3,18,-2.79,3.896854706041785
3,19,-2.636,3.9779667922193616
3,20,-2.546,3.586873345965815
4,1,-4.869,4.011144624667627
4,2,-4.855,4.283668194433364
4,3,-4.799,3.877306513547775
4,4,-4.549,3.3122867025666727
4,5,-4.415,1.8532818727867602
4,6,-4.299,2.4310823721132944
4,7,-4.058,4.341050149445407
4,8,-3.814,3.934117054689654
4,9,-3.806,3.853196595036386
4,10,-3.696,4.3411857136040615
4,11,-3.659,4.023422237349691
4,12,-3.591,2.704906966976868
4,13,-3.591,4.162149120346362
4,14,-3.447,1.7579088144724684
4,15,-3.442,2.774636228409051
4,16,-3.338,2.634382546252537
4,17,-3.285,2.9820731379360894
4,18,-3.068,3.7997999815779773
4,19,-2.983,3.2443158754967127
4,20,-2.94,3.5227605368517456
5,1,-4.859,4.012433550851652
5,2,-4.851,4.283358822232851
5,3,-4.795,3.87267927925874
5,4,-4.711,4.05888505626853
5,5,-4.67,4.1270188514229
5,6,-4.579,3.3164770314295864
5,7,-4.429,2.1614968424682
5,8,-4.222,1.9200742433562303
